Section,H1(m),H2(m),W1(m),L_tilt(deg),R_tilt(deg)
1,8.2643,9.7835,8.6820,90.1114,90.5048
2,8.2466,9.7814,8.7068,90.1114,90.5048
3,8.2205,9.7694,8.6891,90.1114,90.5048
4,8.1877,9.7525,8.7052,90.1114,90.5048
5,8.1676,9.7077,8.6939,90.1114,90.5048
6,8.1565,9.6894,8.7199,90.1114,90.5048
7,8.1250,9.6649,8.7109,90.1114,90.5048
8,8.1029,9.6473,8.7106,90.1114,90.5048
9,8.0723,9.6117,8.6959,90.1114,90.5048
10,8.0494,9.6027,8.7205,90.1114,90.5048
11,8.0247,9.5548,8.7084,90.1114,90.5048
12,8.0104,9.5431,8.7233,90.1114,90.5048
13,7.9829,9.5172,8.7232,90.1114,90.5048
14,7.9564,9.4987,8.7252,90.1114,90.5048
15,7.9252,9.4737,8.7253,90.1114,90.5048
16,7.9016,9.4711,8.7269,90.1114,90.5048
17,7.8811,9.4251,8.7295,90.1114,90.5048
18,7.8618,9.3905,8.7216,90.1114,90.5048
19,7.8222,9.3669,8.7083,90.1114,90.5048
20,7.8038,9.3396,8.7056,90.1114,90.5048
