chainage_m,crown_settlement_mm,lateral_convergence_mm,ovality_pct,eccentricity_mm,radius_fit_m,wall_angle_L_deg,wall_angle_R_deg,clearance_violation,min_clearance_dist_m
0.0,5988.845,5985.741,0.243,174.71,3.0031,86.71,86.72,1,-0.8392
12.566,5989.058,5985.646,0.251,166.271,3.0024,89.88,88.97,1,-0.6167
25.134,5989.265,5985.556,0.26,158.039,3.0017,88.86,89.14,1,-0.4221
37.703,5989.466,5985.47,0.268,150.016,3.0011,89.97,88.83,1,-0.2222
50.274,5989.662,5985.39,0.275,142.202,3.0005,89.39,88.5,1,-0.0396
62.845,5989.851,5985.314,0.283,134.596,2.9999,89.84,88.92,0,0.131
75.418,5990.035,5985.244,0.289,127.199,2.9993,89.72,89.25,0,0.2899
87.991,5990.213,5985.178,0.296,120.011,2.9988,88.87,89.12,0,0.4106
100.566,5990.385,5985.117,0.302,113.032,2.9982,89.16,89.74,0,0.5392
113.141,5990.551,5985.061,0.308,106.262,2.9977,89.73,89.83,0,0.6949
125.716,5990.712,5985.01,0.314,99.701,2.9972,88.98,89.99,0,0.8231
138.292,5990.867,5984.964,0.319,93.35,2.9967,89.07,89.2,0,0.9309
150.869,5991.016,5984.923,0.324,87.208,2.9963,89.94,88.05,0,1.0229
163.445,5991.159,5984.886,0.329,81.276,2.9958,86.58,88.36,0,1.1105
176.022,5991.296,5984.855,0.333,75.553,2.9954,87.78,89.85,0,1.1865
188.599,5991.427,5984.829,0.337,70.04,2.995,88.18,89.63,0,1.2555
201.176,5991.553,5984.807,0.34,64.736,2.9947,88.47,89.72,0,1.3166
213.753,5991.673,5984.791,0.344,59.642,2.9943,88.27,89.73,0,1.3692
226.33,5991.787,5984.779,0.347,54.758,2.994,89.81,87.8,0,1.3761
238.906,5991.895,5984.772,0.349,50.083,2.9936,89.8,89.54,0,1.3395
251.483,5991.998,5984.77,0.352,45.618,2.9934,88.27,88.31,0,1.3051
264.058,5992.094,5984.773,0.354,41.363,2.9931,89.87,89.82,0,1.2795
276.634,5992.185,5984.782,0.355,37.317,2.9928,89.7,69.85,0,0.2614
289.209,5992.27,5984.794,0.356,33.481,2.9926,89.25,89.93,0,1.2406
301.784,5992.349,5984.812,0.357,29.855,2.9924,89.09,89.65,0,1.2278
314.359,5992.422,5984.835,0.358,26.438,2.9922,89.97,89.86,0,1.2232
326.933,5992.49,5984.863,0.358,23.231,2.992,89.83,89.7,0,1.2173
339.506,5992.551,5984.895,0.358,20.233,2.9919,88.66,89.98,0,1.216
352.079,5992.607,5984.933,0.358,17.445,2.9917,89.31,89.98,0,1.2192
364.651,5992.657,5984.975,0.357,14.867,2.9916,89.23,88.81,0,1.2223
377.223,5992.702,5985.023,0.356,12.498,2.9915,89.96,89.87,0,1.2263
389.795,5992.74,5985.075,0.355,10.339,2.9915,89.88,89.08,0,1.2356
402.366,5992.773,5985.132,0.353,8.389,2.9914,88.64,89.0,0,1.2442
414.937,5992.799,5985.194,0.351,6.649,2.9914,89.19,89.06,0,1.2546
427.507,5992.82,5985.261,0.349,5.118,2.9914,88.79,89.9,0,1.2635
440.077,5992.836,5985.333,0.346,3.797,2.9914,89.84,89.94,0,1.2731
452.647,5992.845,5985.41,0.343,2.684,2.9914,89.01,88.3,0,1.2825
465.216,5992.848,5985.492,0.339,1.782,2.9915,88.12,88.18,0,1.2895
477.785,5992.846,5985.579,0.336,1.088,2.9915,89.95,89.94,0,1.2954
490.355,5992.838,5985.67,0.332,0.604,2.9916,88.4,87.7,0,1.297
502.924,5992.824,5985.767,0.327,0.33,2.9917,87.51,89.68,0,1.2974
515.493,5992.805,5985.868,0.323,0.264,2.9919,89.98,88.05,0,1.2934
528.062,5992.779,5985.975,0.318,0.409,2.992,87.94,87.76,0,1.2842
540.631,5992.748,5986.086,0.312,0.762,2.9922,89.55,88.59,0,1.2442
553.201,5992.711,5986.202,0.307,1.325,2.9924,89.95,89.9,0,1.236
565.771,5992.668,5986.323,0.301,2.097,2.9926,89.99,89.11,0,1.2581
578.341,5992.619,5986.449,0.294,3.078,2.9928,89.88,89.17,0,1.2578
590.912,5992.564,5986.58,0.288,4.269,2.9931,89.64,89.91,0,1.2474
603.483,5992.504,5986.716,0.28,5.67,2.9933,89.86,89.91,0,1.2403
616.055,5992.438,5986.857,0.273,7.279,2.9936,89.82,89.88,0,1.2329
628.627,5992.366,5987.003,0.265,9.099,2.994,89.58,87.73,0,1.2261
641.199,5992.288,5987.153,0.257,11.128,2.9943,88.85,89.68,0,1.2235
653.772,5992.205,5987.309,0.249,13.366,2.9946,89.68,89.77,0,1.2189
666.345,5992.115,5987.469,0.24,15.814,2.995,89.73,88.97,0,1.219
678.919,5992.02,5987.635,0.231,18.472,2.9954,89.95,89.16,0,1.2218
691.494,5991.919,5987.805,0.222,21.339,2.9958,90.0,89.22,0,1.2298
704.069,5991.812,5987.98,0.212,24.416,2.9963,89.99,89.06,0,1.2425
716.644,5991.699,5988.161,0.202,27.702,2.9967,88.96,89.9,0,1.2559
729.22,5991.581,5988.346,0.192,31.198,2.9972,88.39,89.93,0,1.2759
741.796,5991.456,5988.536,0.181,34.904,2.9977,89.97,89.86,0,1.3065
754.372,5991.326,5988.731,0.17,38.82,2.9982,87.54,89.72,0,1.3374
766.949,5991.19,5988.931,0.159,42.945,2.9987,89.77,88.04,0,1.3738
779.525,5991.048,5989.136,0.147,47.279,2.9993,87.73,89.67,0,1.3689
792.102,5990.901,5989.345,0.135,51.824,2.9999,89.57,89.74,0,1.3082
804.679,5990.747,5989.56,0.123,56.578,3.0005,89.93,89.81,0,1.2474
817.256,5990.588,5989.78,0.11,61.542,3.0011,89.57,89.61,0,1.1907
829.833,5990.423,5990.004,0.097,66.715,3.0017,87.77,88.25,0,1.1121
842.41,5990.252,5990.233,0.084,72.098,3.0024,89.85,87.57,0,1.0242
854.986,5990.075,5990.468,0.07,77.69,3.0031,89.65,89.74,0,0.9306
867.562,5989.893,5990.707,0.056,83.491,3.0038,89.99,89.8,0,0.8264
880.138,5989.705,5990.951,0.042,89.502,3.0045,89.54,89.74,0,0.7054
892.713,5989.511,5991.2,0.027,95.723,3.0052,89.05,89.67,0,0.5785
905.287,5989.311,5991.454,0.012,102.152,3.006,88.81,89.53,0,0.4391
917.861,5989.105,5991.713,-0.003,108.79,3.0068,89.81,87.83,0,0.2922
930.433,5988.893,5991.977,-0.019,115.638,3.0076,88.99,89.55,0,0.1277
943.005,5988.676,5992.246,-0.035,122.694,3.0084,88.77,88.75,1,-0.0467
955.575,5988.453,5992.519,-0.051,129.959,3.0092,89.04,89.12,1,-0.23
