Section,R(m),H1(m),H2(m),W1(m),W1'(m),W2(m),W2'(m),W3(m),W3'(m)
1,7.1311,9.4258,9.6713,2.2196,2.5168,2.1501,2.4429,2.5639,2.7270
2,7.1310,9.4263,9.6701,2.2175,2.5132,2.1475,2.4387,2.5630,2.7240
3,7.1308,9.4267,9.6689,2.2155,2.5098,2.1450,2.4347,2.5621,2.7211
4,7.1307,9.4271,9.6677,2.2136,2.5066,2.1426,2.4309,2.5612,2.7183
5,7.1305,9.4274,9.6666,2.2117,2.5035,2.1403,2.4272,2.5604,2.7156
6,7.1303,9.4277,9.6655,2.2099,2.5006,2.1380,2.4238,2.5596,2.7131
7,7.1300,9.4280,9.6645,2.2081,2.4978,2.1359,2.4205,2.5588,2.7107
8,7.1298,9.4282,9.6635,2.2064,2.4952,2.1338,2.4175,2.5581,2.7084
9,7.1295,9.4284,9.6625,2.2048,2.4928,2.1318,2.4146,2.5575,2.7063
10,7.1292,9.4285,9.6616,2.2032,2.4905,2.1299,2.4119,2.5568,2.7043
11,7.1289,9.4286,9.6607,2.2017,2.4884,2.1281,2.4094,2.5562,2.7025
12,7.1285,9.4287,9.6599,2.2003,2.4864,2.1263,2.4071,2.5557,2.7007
13,7.1281,9.4287,9.6591,2.1989,2.4846,2.1246,2.4049,2.5552,2.6991
14,7.1277,9.4287,9.6583,2.1976,2.4830,2.1231,2.4030,2.5547,2.6977
15,7.1273,9.4287,9.6576,2.1963,2.4815,2.1216,2.4012,2.5543,2.6964
16,7.1268,9.4286,9.6569,2.1952,2.4801,2.1202,2.3996,2.5539,2.6952
17,7.1263,9.4285,9.6563,2.1940,2.4790,2.1188,2.3982,2.5536,2.6941
18,7.1258,9.4283,9.6557,2.1930,2.4780,2.1176,2.3970,2.5533,2.6932
19,7.1253,9.4281,9.6551,2.1920,2.4771,2.1164,2.3960,2.5530,2.6924
20,7.1247,9.4279,9.6546,2.1910,2.4764,2.1154,2.3952,2.5528,2.6917
21,7.1242,9.4276,9.6541,2.1901,2.4759,2.1144,2.3945,2.5526,2.6912
22,7.1236,9.4273,9.6537,2.1893,2.4755,2.1135,2.3941,2.5524,2.6908
23,7.1229,9.4270,9.6533,2.1886,2.4752,2.1126,2.3938,2.5523,2.6906
24,7.1223,9.4266,9.6529,2.1879,2.4752,2.1119,2.3937,2.5523,2.6905
25,7.1216,9.4262,9.6526,2.1872,2.4753,2.1112,2.3938,2.5523,2.6905
26,7.1209,9.4258,9.6523,2.1867,2.4755,2.1107,2.3941,2.5523,2.6906
27,7.1202,9.4253,9.6520,2.1862,2.4759,2.1102,2.3946,2.5523,2.6909
28,7.1194,9.4247,9.6518,2.1857,2.4765,2.1098,2.3952,2.5524,2.6913
29,7.1187,9.4242,9.6517,2.1854,2.4772,2.1095,2.3961,2.5526,2.6918
30,7.1179,9.4236,9.6515,2.1850,2.4781,2.1092,2.3971,2.5527,2.6925
31,7.1171,9.4229,9.6514,2.1848,2.4791,2.1091,2.3983,2.5530,2.6933
32,7.1162,9.4223,9.6514,2.1846,2.4803,2.1090,2.3997,2.5532,2.6943
33,7.1153,9.4215,9.6514,2.1845,2.4817,2.1090,2.4013,2.5535,2.6954
34,7.1144,9.4208,9.6514,2.1844,2.4832,2.1091,2.4031,2.5539,2.6966
35,7.1135,9.4200,9.6515,2.1844,2.4849,2.1093,2.4050,2.5543,2.6979
36,7.1126,9.4192,9.6516,2.1845,2.4867,2.1096,2.4072,2.5547,2.6994
37,7.1116,9.4183,9.6517,2.1846,2.4887,2.1099,2.4095,2.5551,2.7010
38,7.1106,9.4174,9.6519,2.1848,2.4909,2.1103,2.4120,2.5556,2.7028
39,7.1096,9.4165,9.6521,2.1850,2.4932,2.1109,2.4147,2.5562,2.7047
40,7.1086,9.4155,9.6524,2.1853,2.4956,2.1115,2.4176,2.5568,2.7067
