epoch,metric,chainage_m,theta_deg,ground_truth_mm,regular_measured_mm,raycast_measured_mm,regular_error_to_gt_mm,raycast_error_to_gt_mm,raycast_error_to_regular_mm,raycast_t0_zone_points,raycast_tn_zone_points,regular_t0_zone_points,regular_tn_zone_points
T1,crown_settlement_mm,24.0,90.0,-5.0,-4.756,-4.679,0.244,0.321,0.077,11522,11548,299,299
T1,sidewall_convergence_mm,50.0,0.0,-2.0,-1.926,-1.992,0.074,0.008,0.066,9277,9297,325,325
T1,local_damage_mm,72.0,58.0,0.0,0.091,0.077,0.091,0.077,0.014,7828,7828,315,315
T2,crown_settlement_mm,24.0,90.0,-12.0,-11.414,-11.026,0.586,0.974,0.388,11522,11484,299,299
T2,sidewall_convergence_mm,50.0,0.0,-8.0,-7.704,-6.925,0.296,1.075,0.779,9277,9258,325,325
T2,local_damage_mm,72.0,58.0,0.0,0.134,0.088,0.134,0.088,0.046,7828,7825,315,315
T3,crown_settlement_mm,24.0,90.0,-21.0,-19.975,-19.35,1.025,1.65,0.624,11522,11481,299,299
T3,sidewall_convergence_mm,50.0,0.0,-16.0,-15.407,-15.15,0.593,0.85,0.258,9277,9356,325,325
T3,local_damage_mm,72.0,58.0,-14.0,-15.095,-15.426,1.095,1.426,0.331,7828,7863,315,315
T4,crown_settlement_mm,24.0,90.0,-32.0,-30.438,-29.344,1.562,2.656,1.094,11522,11556,299,299
T4,sidewall_convergence_mm,50.0,0.0,-27.0,-26.0,-25.046,1.0,1.954,0.954,9277,9218,325,325
T4,local_damage_mm,72.0,58.0,-27.0,-29.265,-29.859,2.265,2.859,0.594,7828,7774,315,315
T5,crown_settlement_mm,24.0,90.0,-48.0,-45.656,-44.122,2.344,3.878,1.534,11522,11568,299,299
T5,sidewall_convergence_mm,50.0,0.0,-40.0,-38.519,-37.597,1.481,2.403,0.922,9277,9364,325,325
T5,local_damage_mm,72.0,58.0,-43.0,-46.728,-47.663,3.728,4.663,0.935,7828,7812,315,315
