# x y z nx ny nz intensity label
1.68157 19.22018 0.52317 0.000000 0.000000 0.000000 0.049699 1
1.60337 19.13358 0.27047 0.000000 0.000000 0.000000 0.043793 1
1.65717 18.45188 0.68617 0.000000 0.000000 0.000000 0.068940 1
1.59207 19.27608 1.11957 0.000000 0.000000 0.000000 0.024079 1
1.61177 18.04158 0.44967 0.000000 0.000000 0.000000 0.051133 1
1.62007 17.94358 0.83587 0.000000 0.000000 0.000000 0.009995 1
1.43907 19.07818 0.01897 0.000000 0.000000 0.000000 0.048676 1
1.58617 17.46708 0.45507 0.000000 0.000000 0.000000 0.015030 1
1.59567 17.36398 0.82387 0.000000 0.000000 0.000000 0.093217 1
1.42967 18.30868 0.04967 0.000000 0.000000 0.000000 0.034363 1
1.56287 16.94228 0.46007 0.000000 0.000000 0.000000 0.108705 1
1.57267 16.84178 0.81297 0.000000 0.000000 0.000000 0.104036 1
1.47017 17.89298 1.21987 0.000000 0.000000 0.000000 0.042756 1
1.53087 16.56188 0.39497 0.000000 0.000000 0.000000 0.053407 1
1.55697 16.31018 0.73477 0.000000 0.000000 0.000000 0.084108 1
1.45967 17.24938 1.18687 0.000000 0.000000 0.000000 0.026581 1
1.47427 16.44858 0.26047 0.000000 0.000000 0.000000 0.043427 1
1.53707 15.87658 0.59937 0.000000 0.000000 0.000000 0.071000 1
1.51587 16.06928 0.92857 0.000000 0.000000 0.000000 0.109850 1
1.35167 16.91418 0.03397 0.000000 0.000000 0.000000 0.012009 1
1.49457 15.68298 0.40867 0.000000 0.000000 0.000000 0.084993 1
1.52017 15.46208 0.72237 0.000000 0.000000 0.000000 0.135332 1
1.46797 15.91158 1.05337 0.000000 0.000000 0.000000 0.064118 1
1.42217 15.75238 0.21567 0.000000 0.000000 0.000000 0.058518 1
1.49687 15.14128 0.53727 0.000000 0.000000 0.000000 0.078340 1
1.49507 15.15578 0.83827 0.000000 0.000000 0.000000 0.067872 1
1.40207 15.91668 1.18407 0.000000 0.000000 0.000000 0.085435 1
1.41097 15.33838 0.22967 0.000000 0.000000 0.000000 0.066423 1
1.48267 14.78028 0.53857 0.000000 0.000000 0.000000 0.044892 1
1.48047 14.79748 0.82877 0.000000 0.000000 0.000000 0.143786 1
1.39747 15.44338 1.15697 0.000000 0.000000 0.000000 0.098680 1
1.39977 14.96158 0.24227 0.000000 0.000000 0.000000 0.098497 1
1.46897 14.44788 0.53967 0.000000 0.000000 0.000000 0.140917 1
1.46837 14.45208 0.81947 0.000000 0.000000 0.000000 0.080629 1
1.39137 15.02428 1.13307 0.000000 0.000000 0.000000 0.079789 1
1.36637 14.77518 0.19037 0.000000 0.000000 0.000000 0.100862 1
1.44967 14.18378 0.48627 0.000000 0.000000 0.000000 0.109331 1
1.46167 14.09838 0.75617 0.000000 0.000000 0.000000 0.117174 1
1.40867 14.47468 1.04527 0.000000 0.000000 0.000000 0.085954 1
1.23637 15.26028 -0.01323 0.000000 0.000000 0.000000 0.038926 1
1.40077 14.14288 0.32407 0.000000 0.000000 0.000000 0.135515 1
1.44887 13.81608 0.59397 0.000000 0.000000 0.000000 0.102907 1
1.43917 13.88198 0.85697 0.000000 0.000000 0.000000 0.074968 1
1.35517 14.45298 1.15697 0.000000 0.000000 0.000000 0.056977 1
1.28827 14.51938 0.08677 0.000000 0.000000 0.000000 0.070481 1
1.40717 13.74368 0.38687 0.000000 0.000000 0.000000 0.079118 1
1.44007 13.52928 0.64367 0.000000 0.000000 0.000000 0.116716 1
1.42037 13.65748 0.90087 0.000000 0.000000 0.000000 0.103212 1
1.32117 14.30498 1.20347 0.000000 0.000000 0.000000 0.081453 1
1.28757 14.16518 0.10517 0.000000 0.000000 0.000000 0.128359 1
1.39727 13.47788 0.39257 0.000000 0.000000 0.000000 0.168307 1
1.42917 13.27768 0.64147 0.000000 0.000000 0.000000 0.119112 1
1.41207 13.38488 0.89037 0.000000 0.000000 0.000000 0.084047 1
1.32037 13.95938 1.17957 0.000000 0.000000 0.000000 0.084794 1
1.28667 13.83808 0.12207 0.000000 0.000000 0.000000 0.094377 1
1.38847 13.22468 0.39807 0.000000 0.000000 0.000000 0.148608 1
1.41967 13.03658 0.63947 0.000000 0.000000 0.000000 0.113909 1
1.40317 13.13598 0.88077 0.000000 0.000000 0.000000 0.123735 1
1.32137 13.62928 1.15677 0.000000 0.000000 0.000000 0.075242 1
1.28317 13.54978 0.13687 0.000000 0.000000 0.000000 0.104967 1
1.38037 12.98478 0.40317 0.000000 0.000000 0.000000 0.089738 1
1.40987 12.81348 0.63757 0.000000 0.000000 0.000000 0.066377 1
1.39557 12.89688 0.87157 0.000000 0.000000 0.000000 0.112993 1
1.32027 13.33428 1.13647 0.000000 0.000000 0.000000 0.064805 1
1.24767 13.45998 0.09087 0.000000 0.000000 0.000000 0.120760 1
1.36057 12.82718 0.36017 0.000000 0.000000 0.000000 0.108873 1
1.39937 12.60978 0.59087 0.000000 0.000000 0.000000 0.155047 1
1.39487 12.63538 0.81637 0.000000 0.000000 0.000000 0.150301 1
1.33967 12.94448 1.06217 0.000000 0.000000 0.000000 0.110079 1
0.97367 14.99538 1.55577 0.000000 0.000000 0.000000 0.017075 1
1.30287 12.88508 0.21817 0.000000 0.000000 0.000000 0.128038 1
1.37437 12.49828 0.45787 0.000000 0.000000 0.000000 0.073045 1
1.39437 12.38988 0.67747 0.000000 0.000000 0.000000 0.091997 1
1.37317 12.50448 0.90087 0.000000 0.000000 0.000000 0.125216 1
1.29287 12.93918 1.15687 0.000000 0.000000 0.000000 0.117128 1
1.21117 13.11638 0.06197 0.000000 0.000000 0.000000 0.111971 1
1.33347 12.47648 0.32547 0.000000 0.000000 0.000000 0.165164 1
1.38007 12.23238 0.54727 0.000000 0.000000 0.000000 0.118853 1
1.38377 12.21318 0.76007 0.000000 0.000000 0.000000 0.169665 1
1.34697 12.40558 0.98437 0.000000 0.000000 0.000000 0.107942 1
1.23007 13.01738 1.25927 0.000000 0.000000 0.000000 0.134432 1
1.27337 12.55298 0.18817 0.000000 0.000000 0.000000 0.078645 1
1.35157 12.15698 0.42087 0.000000 0.000000 0.000000 0.163333 1
1.37857 12.02018 0.63077 0.000000 0.000000 0.000000 0.161242 1
1.36867 12.07028 0.83987 0.000000 0.000000 0.000000 0.159274 1
1.31307 12.35198 1.06897 0.000000 0.000000 0.000000 0.079530 1
1.13887 13.23418 1.37837 0.000000 0.000000 0.000000 0.090074 1
1.29047 12.24518 0.24717 0.000000 0.000000 0.000000 0.147250 1
1.35417 11.93258 0.46657 0.000000 0.000000 0.000000 0.150195 1
1.37267 11.84178 0.66957 0.000000 0.000000 0.000000 0.164309 1
1.35697 11.91878 0.87497 0.000000 0.000000 0.000000 0.143771 1
1.29257 12.23498 1.10427 0.000000 0.000000 0.000000 0.131792 1
1.08117 13.27208 1.43297 0.000000 0.000000 0.000000 0.107881 1
1.26937 12.13718 0.20947 0.000000 0.000000 0.000000 0.157275 1
1.33947 11.80368 0.42827 0.000000 0.000000 0.000000 0.175097 1
1.36607 11.67708 0.62787 0.000000 0.000000 0.000000 0.181170 1
1.35647 11.72298 0.82657 0.000000 0.000000 0.000000 0.203799 1
1.30827 11.95218 1.04167 0.000000 0.000000 0.000000 0.116548 1
1.17107 12.60488 1.31567 0.000000 0.000000 0.000000 0.078355 1
1.24427 12.05378 0.17167 0.000000 0.000000 0.000000 0.171313 1
1.32547 11.67878 0.39147 0.000000 0.000000 0.000000 0.186282 1
1.35737 11.53128 0.58817 0.000000 0.000000 0.000000 0.184176 1
1.35617 11.53678 0.78087 0.000000 0.000000 0.000000 0.133883 1
1.31917 11.70758 0.98497 0.000000 0.000000 0.000000 0.157778 1
1.21937 12.16858 1.22877 0.000000 0.000000 0.000000 0.111849 1
1.18767 12.11578 0.08267 0.000000 0.000000 0.000000 0.109178 1
1.29677 11.62628 0.31437 0.000000 0.000000 0.000000 0.162020 1
1.34337 11.41718 0.51227 0.000000 0.000000 0.000000 0.164233 1
1.35357 11.37148 0.70037 0.000000 0.000000 0.000000 0.147387 1
1.33517 11.45408 0.89267 0.000000 0.000000 0.000000 0.187915 1
1.26997 11.74658 1.10837 0.000000 0.000000 0.000000 0.159976 1
1.08187 12.59028 1.40747 0.000000 0.000000 0.000000 0.089799 1
1.21877 11.79138 0.14597 0.000000 0.000000 0.000000 0.119524 1
1.30517 11.41448 0.36067 0.000000 0.000000 0.000000 0.123705 1
1.34227 11.25298 0.55057 0.000000 0.000000 0.000000 0.177310 1
1.34817 11.22708 0.73417 0.000000 0.000000 0.000000 0.210163 1
