x y z r g b label
3.19571 0.00123 0.00000 169 169 169 1
3.19687 0.00501 0.12561 167 167 167 1
3.18528 -0.00009 0.25069 168 168 168 1
3.17124 -0.00241 0.37534 170 170 170 1
3.16405 -0.00236 0.50114 170 170 170 1
3.14004 0.00217 0.62459 168 168 168 1
3.10589 0.00416 0.74566 170 170 170 1
3.07585 -0.00036 0.86748 176 176 176 1
3.04344 -0.00083 0.98887 181 181 181 1
2.99265 0.00187 1.10405 170 170 170 1
2.94802 0.00150 1.22111 183 183 183 1
2.90689 0.00089 1.34010 179 179 179 1
2.84911 0.00148 1.45170 186 186 186 1
2.79488 -0.00085 1.56521 188 188 188 1
2.72899 0.00400 1.67233 174 174 174 1
2.65358 -0.00052 1.77307 188 188 188 1
2.59336 -0.00326 1.88419 188 188 188 1
2.51707 0.00376 1.98430 183 183 183 1
2.43047 -0.00055 2.07582 190 190 190 1
2.34519 0.00246 2.16787 183 183 183 1
2.26773 -0.00207 2.26773 186 186 186 1
2.17434 0.00136 2.35219 182 182 182 1
2.07367 0.00382 2.42796 188 188 188 1
1.97777 0.00045 2.50879 191 191 191 1
1.87667 -0.00010 2.58302 199 199 199 1
1.77689 -0.00320 2.65930 191 191 191 1
1.67215 -0.00010 2.72871 189 189 189 1
1.56635 0.00185 2.79693 205 205 205 1
1.45045 0.00168 2.84666 191 191 191 1
1.34046 -0.00052 2.90769 192 192 192 1
1.22624 0.00318 2.96040 198 198 198 1
1.10682 -0.00265 3.00015 204 204 204 1
0.99031 0.00266 3.04787 197 197 197 1
0.86757 0.00096 3.07615 195 195 195 1
0.74568 -0.00058 3.10598 204 204 204 1
0.62346 -0.00388 3.13437 196 196 196 1
0.50064 -0.00360 3.16089 193 193 193 1
0.37546 0.00112 3.17228 202 202 202 1
0.25072 0.00066 3.18571 195 195 195 1
0.12570 0.00467 3.19931 198 198 198 1
0.00000 -0.00057 3.19166 191 191 191 1
-0.12589 0.00050 3.20399 195 195 195 1
-0.25079 0.00223 3.18663 192 192 192 1
-0.37684 -0.00044 3.18389 195 195 195 1
-0.50029 -0.00130 3.15870 193 193 193 1
-0.62491 -0.00206 3.14162 195 195 195 1
-0.74997 -0.00080 3.12384 194 194 194 1
-0.86801 0.00431 3.07774 198 198 198 1
-0.98780 -0.00273 3.04012 195 195 195 1
-1.10695 0.00109 3.00053 191 191 191 1
-1.22441 0.00143 2.95598 194 194 194 1
-1.33779 -0.00068 2.90189 193 193 193 1
-1.45543 0.00107 2.85645 186 186 186 1
-1.56380 0.00062 2.79237 194 194 194 1
-1.67725 -0.00094 2.73703 196 196 196 1
-1.77973 -0.00442 2.66355 188 188 188 1
-1.87526 -0.00027 2.58107 193 193 193 1
-1.98032 0.00226 2.51202 189 189 189 1
-2.07555 0.00051 2.43016 186 186 186 1
-2.17542 0.00099 2.35335 194 194 194 1
-2.25911 0.00234 2.25911 195 195 195 1
-2.35256 -0.00384 2.17468 190 190 190 1
-2.43729 0.00217 2.08164 182 182 182 1
-2.51480 -0.00255 1.98251 192 192 192 1
-2.58625 -0.00264 1.87902 185 185 185 1
-2.66406 -0.00318 1.78007 187 187 187 1
-2.72671 -0.00110 1.67093 178 178 178 1
-2.78741 0.00263 1.56103 181 181 181 1
-2.85211 -0.00080 1.45322 182 182 182 1
-2.91411 0.00203 1.34342 184 184 184 1
-2.95989 0.00190 1.22603 183 183 183 1
-3.00443 -0.00034 1.10839 175 175 175 1
-3.04383 0.00338 0.98900 181 181 181 1
-3.08425 -0.00303 0.86985 180 180 180 1
-3.11355 0.00051 0.74750 177 177 177 1
-3.14420 0.00058 0.62542 169 169 169 1
-3.15993 -0.00226 0.50048 175 175 175 1
-3.18195 -0.00271 0.37661 166 166 166 1
-3.19299 0.00388 0.25129 173 173 173 1
-3.20193 -0.00329 0.12580 169 169 169 1
-3.20515 0.00053 0.00000 172 172 172 1
-3.20084 -0.00244 -0.12576 171 171 171 1
-3.19032 -0.00147 -0.25108 170 170 170 1
-3.19087 0.00401 -0.37766 171 171 171 1
-3.16789 0.00349 -0.50174 162 162 162 1
-3.14299 -0.00238 -0.62518 164 164 164 1
-3.11542 -0.00266 -0.74795 155 155 155 1
-3.08787 -0.00243 -0.87087 158 158 158 1
-3.04449 0.00207 -0.98922 155 155 155 1
-3.01607 -0.00117 -1.11269 153 153 153 1
-2.95217 0.00354 -1.22283 158 158 158 1
-2.90593 0.00464 -1.33965 157 157 157 1
-2.85252 -0.00030 -1.45343 160 160 160 1
-2.78832 0.00514 -1.56153 157 157 157 1
-2.72612 0.00223 -1.67057 150 150 150 1
-2.65916 0.00532 -1.77680 143 143 143 1
-2.58884 0.00152 -1.88091 150 150 150 1
-2.51466 -0.00510 -1.98240 143 143 143 1
-2.43176 -0.00616 -2.07692 149 149 149 1
-2.34276 -0.00332 -2.16562 150 150 150 1
-2.26294 -0.00120 -2.26294 150 150 150 1
-2.17384 -0.00162 -2.35164 154 154 154 1
-2.07778 0.00267 -2.43276 147 147 147 1
-1.98393 -0.00276 -2.51661 145 145 145 1
-1.87892 -0.00163 -2.58611 140 140 140 1
-1.77686 -0.00142 -2.65926 145 145 145 1
-1.67363 -0.00208 -2.73112 144 144 144 1
-1.56548 -0.00134 -2.79537 145 145 145 1
-1.45090 -0.00163 -2.84756 131 131 131 1
-1.33528 0.00063 -2.89644 147 147 147 1
-1.22190 -0.00195 -2.94993 146 146 146 1
-1.10532 0.00334 -2.99611 148 148 148 1
-0.98898 -0.00072 -3.04375 137 137 137 1
-0.87140 0.00695 -3.08976 141 141 141 1
-0.74706 -0.00666 -3.11172 136 136 136 1
-0.62471 0.00047 -3.14061 139 139 139 1
-0.50232 0.00336 -3.17150 136 136 136 1
-0.37498 -0.00206 -3.16818 137 137 137 1
-0.25122 0.00227 -3.19209 135 135 135 1
-0.12580 -0.00322 -3.20177 137 137 137 1
-0.00000 -0.00160 -3.19603 141 141 141 1
0.12551 -0.00250 -3.19451 134 134 134 1
0.24993 -0.00185 -3.17562 138 138 138 1
0.37615 -0.00015 -3.17807 143 143 143 1
0.50087 0.00168 -3.16235 142 142 142 1
0.62613 -0.00049 -3.14778 139 139 139 1
0.74506 0.00048 -3.10340 139 139 139 1
0.86929 -0.00113 -3.08227 144 144 144 1
0.98754 -0.00512 -3.03934 145 145 145 1
1.10474 -0.00257 -2.99453 141 141 141 1
1.22182 -0.00411 -2.94973 136 136 136 1
1.33708 -0.00045 -2.90034 138 138 138 1
1.45638 -0.00081 -2.85831 143 143 143 1
1.56788 0.00227 -2.79965 148 148 148 1
1.67152 -0.00018 -2.72768 141 141 141 1
1.78322 0.00022 -2.66878 146 146 146 1
1.88058 0.00380 -2.58839 144 144 144 1
1.98370 -0.00031 -2.51631 145 145 145 1
2.08418 0.00027 -2.44026 146 146 146 1
2.17050 0.00195 -2.34804 150 150 150 1
2.26281 -0.00047 -2.26281 151 151 151 1
2.34402 0.00383 -2.16679 145 145 145 1
2.43531 0.00039 -2.07995 149 149 149 1
2.51737 0.00390 -1.98454 155 155 155 1
2.58670 -0.00127 -1.87935 149 149 149 1
2.65362 -0.00255 -1.77309 158 158 158 1
2.73107 0.00179 -1.67360 146 146 146 1
2.79438 0.00309 -1.56493 158 158 158 1
2.85442 0.00148 -1.45440 158 158 158 1
2.90900 -0.00226 -1.34107 161 161 161 1
2.95774 -0.00069 -1.22514 161 161 161 1
3.00657 -0.00371 -1.10918 152 152 152 1
3.04763 0.00183 -0.99024 158 158 158 1
3.07687 0.00191 -0.86777 159 159 159 1
3.11188 0.00443 -0.74710 157 157 157 1
3.14091 0.00340 -0.62477 160 160 160 1
3.15917 0.00264 -0.50036 164 164 164 1
3.18104 0.00202 -0.37650 166 166 166 1
3.19414 -0.00166 -0.25138 164 164 164 1
3.20056 0.00071 -0.12575 158 158 158 1
3.21753 0.40017 0.00063 165 165 165 1
3.20895 0.40224 0.12633 171 171 171 1
3.19989 0.39589 0.25172 171 171 171 1
3.19566 0.40175 0.37773 164 164 164 1
3.17082 0.40407 0.50133 168 168 168 1
3.15196 0.39883 0.62570 177 177 177 1
3.12147 0.40137 0.74775 165 165 165 1
3.08758 0.40038 0.86874 173 173 173 1
3.05216 0.40277 0.98925 176 176 176 1
3.02023 0.40108 1.11135 178 178 178 1
2.96438 0.40216 1.22458 176 176 176 1
2.90820 0.40023 1.33695 188 188 188 1
2.85813 0.40400 1.45208 188 188 188 1
2.80717 0.39719 1.56740 186 186 186 1
2.73875 0.39777 1.67312 179 179 179 1
2.66762 0.39811 1.77674 180 180 180 1
2.59883 0.39923 1.88189 194 194 194 1
2.52419 0.39710 1.98306 188 188 188 1
2.44465 0.39908 2.08045 194 194 194 1
2.35091 0.39500 2.16501 186 186 186 1
2.27323 0.39767 2.26437 181 181 181 1
2.18259 0.39923 2.35148 186 186 186 1
2.08752 0.40152 2.43369 188 188 188 1
1.99159 0.39727 2.51491 185 185 185 1
1.88950 0.39801 2.58825 188 188 188 1
1.78592 0.40270 2.65924 196 196 196 1
1.68097 0.39879 2.72825 189 189 189 1
1.57086 0.39616 2.78866 190 190 190 1
1.45994 0.39913 2.84730 189 189 189 1
1.34874 0.39838 2.90570 189 189 189 1
1.23434 0.40189 2.95769 192 192 192 1
1.11611 0.39746 3.00026 197 197 197 1
1.00007 0.39945 3.04935 195 195 195 1
0.88102 0.40381 3.09085 195 195 195 1
0.75882 0.40222 3.12184 193 193 193 1
0.63389 0.39442 3.13973 197 197 197 1
0.51021 0.40164 3.16211 193 193 193 1
0.38585 0.39994 3.18058 195 195 195 1
0.26139 0.40080 3.20146 196 196 196 1
0.13476 0.40204 3.18919 196 196 196 1
0.00948 0.40084 3.19670 196 196 196 1
-0.11611 0.39736 3.19727 196 196 196 1
-0.24118 0.39822 3.18561 192 192 192 1
-0.36634 0.39856 3.17597 196 196 196 1
-0.49065 0.39490 3.15834 192 192 192 1
-0.61357 0.39919 3.13291 193 193 193 1
-0.73734 0.40000 3.11136 191 191 191 1
-0.85997 0.40274 3.08348 195 195 195 1
-0.97940 0.40096 3.04408 196 196 196 1
-1.10128 0.39919 3.01147 195 195 195 1
-1.21373 0.40356 2.95372 191 191 191 1
-1.32645 0.40101 2.89848 192 192 192 1
-1.44486 0.39405 2.85494 190 190 190 1
-1.55351 0.39731 2.79155 190 190 190 1
-1.66461 0.40136 2.73250 189 189 189 1
-1.76488 0.40086 2.65614 187 187 187 1
-1.87374 0.40359 2.59265 194 194 194 1
-1.97239 0.39861 2.51462 193 193 193 1
-2.06518 0.40203 2.42974 190 190 190 1
-2.16058 0.40050 2.34818 185 185 185 1
-2.25750 0.40696 2.26761 188 188 188 1
-2.34094 0.40252 2.17333 183 183 183 1
-2.42176 0.39671 2.07710 189 189 189 1
-2.50726 0.40278 1.98467 179 179 179 1
-2.57744 0.40201 1.88013 183 183 183 1
-2.65289 0.40197 1.77957 177 177 177 1
-2.71258 0.39962 1.66871 180 180 180 1
-2.78487 0.39950 1.56554 181 181 181 1
-2.83417 0.40167 1.44954 181 181 181 1
-2.90286 0.40297 1.34323 182 182 182 1
-2.95161 0.40101 1.22715 181 181 181 1
-2.98796 0.40299 1.10644 178 178 178 1
-3.03742 0.39372 0.99062 178 178 178 1
-3.07267 0.39889 0.86988 175 175 175 1
-3.10336 0.40464 0.74795 169 169 169 1
-3.12598 0.39872 0.62431 166 166 166 1
-3.15450 0.40396 0.50175 176 176 176 1
-3.16098 0.40268 0.37587 171 171 171 1
-3.18031 0.39392 0.25167 169 169 169 1
-3.18667 0.40237 0.12620 171 171 171 1
-3.19746 0.39812 0.00063 165 165 165 1
-3.17434 0.40174 -0.12447 162 162 162 1
-3.19187 0.40122 -0.25133 165 165 165 1
-3.17277 0.40386 -0.37602 167 167 167 1
-3.15241 0.40064 -0.50017 163 163 163 1
-3.12470 0.40369 -0.62280 160 160 160 1
-3.10654 0.39547 -0.74747 155 155 155 1
-3.06869 0.39929 -0.86751 162 162 162 1
-3.03643 0.39883 -0.98905 158 158 158 1
-2.98982 0.39876 -1.10588 152 152 152 1
-2.94632 0.40132 -1.22371 161 161 161 1
-2.90203 0.40346 -1.34160 148 148 148 1
-2.84439 0.39876 -1.45349 156 156 156 1
-2.77582 0.40163 -1.55922 147 147 147 1
-2.71772 0.40181 -1.67060 155 155 155 1
-2.65328 0.40175 -1.77858 153 153 153 1
-2.58117 0.40246 -1.88159 152 152 152 1
-2.50058 0.40342 -1.97815 148 148 148 1
-2.42343 0.40631 -2.07728 152 152 152 1
-2.33645 0.39866 -2.16794 148 148 148 1
-2.25190 0.39958 -2.26076 144 144 144 1
-2.16223 0.39680 -2.34872 149 149 149 1
-2.07000 0.40146 -2.43413 142 142 142 1
-1.97722 0.40333 -2.51949 142 142 142 1
-1.86925 0.40298 -2.58523 148 148 148 1
-1.77176 0.39944 -2.66519 140 140 140 1
-1.66663 0.39848 -2.73453 137 137 137 1
-1.55989 0.39844 -2.80169 137 137 137 1
-1.44346 0.40191 -2.85093 144 144 144 1
-1.33029 0.39944 -2.90557 133 133 133 1
-1.21267 0.39913 -2.94992 140 140 140 1
-1.09568 0.40079 -2.99504 139 139 139 1
-0.97742 0.39688 -3.03676 146 146 146 1
-0.85930 0.40161 -3.07986 139 139 139 1
-0.73719 0.39895 -3.10949 145 145 145 1
-0.61497 0.40107 -3.13870 140 140 140 1
-0.49155 0.39694 -3.16276 141 141 141 1
-0.36698 0.39875 -3.18009 135 135 135 1
-0.24212 0.40052 -3.19635 135 135 135 1
-0.11624 0.39810 -3.19930 137 137 137 1
0.00948 0.40300 -3.20168 142 142 142 1
0.13529 0.39891 -3.20147 136 136 136 1
0.26039 0.40013 -3.18750 143 143 143 1
0.38532 0.40105 -3.17478 146 146 146 1
0.51084 0.39848 -3.16480 142 142 142 1
0.63358 0.40213 -3.13695 142 142 142 1
0.75660 0.40191 -3.11133 141 141 141 1
0.88040 0.39561 -3.08740 138 138 138 1
0.99686 0.40014 -3.03820 141 141 141 1
1.11595 0.40196 -2.99858 145 145 145 1
1.23566 0.40088 -2.95963 147 147 147 1
1.35085 0.40071 -2.90902 137 137 137 1
1.46312 0.40082 -2.85229 140 140 140 1
1.57453 0.40297 -2.79396 141 141 141 1
1.68019 0.40019 -2.72572 138 138 138 1
1.78680 0.40019 -2.65932 146 146 146 1
1.89302 0.39886 -2.59185 143 143 143 1
1.98376 0.40215 -2.50373 147 147 147 1
2.09338 0.40354 -2.43930 138 138 138 1
2.18449 0.39698 -2.35228 149 149 149 1
2.27297 0.39362 -2.26287 143 143 143 1
2.35886 0.39630 -2.17112 140 140 140 1
2.43980 0.40193 -2.07506 153 153 153 1
2.52531 0.40054 -1.98269 158 158 158 1
2.60012 0.39725 -1.88158 149 149 149 1
2.67426 0.40015 -1.77992 154 154 154 1
2.73653 0.39849 -1.67051 158 158 158 1
2.80038 0.40321 -1.56235 149 149 149 1
2.85787 0.39937 -1.45070 156 156 156 1
2.91194 0.40111 -1.33742 156 156 156 1
2.96061 0.40335 -1.22177 147 147 147 1
3.01070 0.39875 -1.10658 156 156 156 1
3.04771 0.40051 -0.98655 155 155 155 1
3.10361 0.39635 -0.87201 159 159 159 1
3.12469 0.39920 -0.74727 163 163 163 1
3.14881 0.40023 -0.62383 159 159 159 1
