# x y z nx ny nz intensity label damage_type
4.245723 0.247471 0.104852 -0.999575 0.012014 0.026541 0.555308 1 0
4.248493 0.247469 0.209204 -0.999575 0.012014 0.026541 0.555308 1 0
4.242952 0.247473 0.000500 -0.999575 0.012014 0.026541 0.555308 1 0
4.238076 0.000000 0.312618 -0.997422 0.012456 -0.070668 0.550000 1 0
4.244156 0.494948 0.314044 -0.997422 0.012456 -0.070668 0.550000 1 0
4.221222 0.247486 0.521104 -0.992708 0.012612 -0.119879 0.550000 1 0
4.208705 0.247493 0.624751 -0.992708 0.012612 -0.119879 0.550000 1 0
4.233738 0.247478 0.417457 -0.992708 0.012612 -0.119879 0.550000 1 0
4.188078 0.000000 0.726673 -0.985559 0.012599 -0.168865 0.550000 1 0
4.194067 0.495007 0.728652 -0.985559 0.012599 -0.168865 0.550000 1 0
4.150727 0.247528 0.932494 -0.975983 0.012421 -0.217493 0.550000 1 0
4.128015 0.247541 1.034414 -0.975983 0.012421 -0.217493 0.550000 1 0
4.173440 0.247514 0.830574 -0.975983 0.012421 -0.217493 0.550000 1 0
4.097505 0.000000 1.133871 -0.963998 0.012090 -0.265635 0.550000 1 0
4.103043 0.495116 1.136305 -0.963998 0.012090 -0.265635 0.550000 1 0
4.039827 0.247594 1.334938 -0.949630 0.011616 -0.313158 0.550000 1 0
4.007123 0.247613 1.434115 -0.949630 0.011616 -0.313158 0.550000 1 0
4.072533 0.247574 1.235762 -0.949630 0.011616 -0.313158 0.550000 1 0
3.967133 0.000000 1.530190 -0.932914 0.011013 -0.359931 0.550000 1 0
3.971932 0.495272 1.532901 -0.932914 0.011013 -0.359931 0.550000 1 0
3.889560 0.247684 1.724418 -0.913891 0.010297 -0.405830 0.550000 1 0
3.891736 0.495367 1.725801 -0.913891 0.010297 -0.405830 0.550000 1 0
3.800110 0.247737 1.913074 -0.892613 0.009484 -0.450725 0.550000 1 0
3.753042 0.247765 2.006288 -0.892613 0.009484 -0.450725 0.550000 1 0
3.847178 0.247709 1.819860 -0.892613 0.009484 -0.450725 0.550000 1 0
3.699724 0.000000 2.095695 -0.869138 0.008593 -0.494495 0.550000 1 0
3.703089 0.495592 2.098391 -0.869138 0.008593 -0.494495 0.550000 1 0
3.593702 0.247860 2.275871 -0.843532 0.007641 -0.537025 0.550000 1 0
3.537632 0.247894 2.363943 -0.843532 0.007641 -0.537025 0.550000 1 0
3.649772 0.247827 2.187799 -0.843532 0.007641 -0.537025 0.550000 1 0
3.476099 0.000000 2.447921 -0.815871 0.006649 -0.578196 0.550000 1 0
3.478444 0.495859 2.450311 -0.815871 0.006649 -0.578196 0.550000 1 0
3.352415 0.248004 2.616355 -0.786231 0.005634 -0.617907 0.550000 1 0
3.287919 0.248043 2.698421 -0.786231 0.005634 -0.617907 0.550000 1 0
3.416911 0.247966 2.534289 -0.786231 0.005634 -0.617907 0.550000 1 0
3.218756 0.000000 2.776241 -0.754702 0.004615 -0.656051 0.550000 1 0
3.220150 0.496167 2.778124 -0.754702 0.004615 -0.656051 0.550000 1 0
3.078727 0.248167 2.931213 -0.721373 0.003610 -0.692538 0.550000 1 0
3.006467 0.248210 3.006482 -0.721373 0.003610 -0.692538 0.550000 1 0
3.150987 0.248124 2.855944 -0.721373 0.003610 -0.692538 0.550000 1 0
2.930302 0.000000 3.077462 -0.686339 0.002634 -0.727277 0.550000 1 0
2.930893 0.496511 3.078699 -0.686339 0.002634 -0.727277 0.550000 1 0
2.775310 0.000000 3.217000 -0.649699 0.001703 -0.760189 0.550000 1 0
2.775574 0.496696 3.217884 -0.649699 0.001703 -0.760189 0.550000 1 0
2.613653 0.248444 3.348975 -0.611555 0.000829 -0.791201 0.550000 1 0
2.531150 0.248494 3.412746 -0.611555 0.000829 -0.791201 0.550000 1 0
2.696156 0.248395 3.285205 -0.611555 0.000829 -0.791201 0.550000 1 0
2.445750 0.000000 3.472294 -0.572009 0.000025 -0.820248 0.550000 1 0
2.445524 0.497089 3.472464 -0.572009 0.000025 -0.820248 0.550000 1 0
2.269242 0.248649 3.583088 -0.489927 -0.000678 -0.871763 0.550000 1 0
2.178360 0.248704 3.634164 -0.489927 -0.000678 -0.871763 0.550000 1 0
2.360124 0.248595 3.532013 -0.489927 -0.000678 -0.871763 0.550000 1 0
2.090285 0.000000 3.689670 -0.530408 -0.001360 -0.847742 0.550000 1 0
