# x y z nx ny nz intensity label
8.274939 62.463787 -2.161905 -0.835171 0.121378 0.536431 0.050000 1
8.017378 57.549240 -1.204520 -0.940042 0.140270 0.310879 0.050000 1
7.910748 55.514626 -0.368599 -0.981825 0.141710 0.126242 0.050000 1
7.900924 55.327168 0.461276 -0.988065 0.138518 -0.067388 0.050000 1
7.907259 55.448067 1.301788 0.307391 -0.031841 -0.951050 0.050000 4
7.248742 60.505833 -3.050000 0.000000 0.000000 1.000000 0.050000 6
6.957042 52.152622 -1.981084 -0.866460 0.110512 0.486862 0.050000 1
6.824555 48.358711 -1.204520 -0.942504 0.115377 0.313646 0.050000 1
6.753848 46.333927 -0.529584 -0.980256 0.110405 0.164036 0.050000 1
6.738625 45.897972 0.130531 -0.993952 0.107856 0.020669 0.050000 1
6.763214 46.602135 0.836001 -0.979254 0.113260 -0.168029 0.050000 1
6.873743 49.767258 1.739574 -0.908808 0.101896 -0.404579 0.050000 1
6.133195 49.443825 -2.662804 -0.754716 0.093852 0.649303 0.050000 1
6.026441 43.327892 -1.826669 -0.888541 0.096274 0.448584 0.050000 1
5.971938 40.205391 -1.204520 -0.947092 0.089984 0.308090 0.059301 1
5.939448 38.344055 -0.669377 -0.982296 0.086413 0.166216 0.066211 1
5.925576 37.549313 -0.161665 -0.994450 0.078991 0.069490 0.069475 1
5.927056 37.634109 0.365002 -0.993165 0.087607 -0.077129 0.069011 1
5.948044 38.836548 0.973762 -0.972598 0.085202 -0.216319 0.063992 1
6.007141 42.222179 1.817080 -0.909701 0.097211 -0.403725 0.052551 1
5.404387 51.573299 -3.504325 -0.490407 0.069305 0.868734 0.050000 1
5.404387 39.964550 -2.331558 -0.818476 0.078473 0.569157 0.060084 1
5.404387 35.909145 -1.697080 -0.909041 0.089865 0.406901 0.077231 1
5.404387 33.683937 -1.204520 -0.946615 0.084222 0.311169 0.089807 1
5.404387 32.160072 -0.777400 -0.974283 0.071498 0.213684 0.100158 1
5.404387 31.362997 -0.377855 -0.990680 0.065422 0.119467 0.106201 1
