# x y z nx ny nz intensity label
4.240000 0.000000 0.000000 -0.999924 0.011865 0.003249 0.800000 1
4.245466 0.000000 0.208563 -0.999683 0.012250 -0.022018 0.800000 1
4.230686 0.000000 0.416676 -0.995372 0.012538 -0.095272 0.800000 1
4.205676 0.000000 0.623833 -0.989441 0.012610 -0.144387 0.800000 1
4.170481 0.000000 0.829527 -0.981078 0.012514 -0.193210 0.800000 1
4.125170 0.000000 1.033253 -0.970296 0.012259 -0.241611 0.800000 1
4.069840 0.000000 1.234507 -0.957117 0.011857 -0.289459 0.800000 1
4.004616 0.000000 1.432791 -0.941571 0.011318 -0.336623 0.800000 1
3.929650 0.000000 1.627610 -0.923697 0.010659 -0.382975 0.800000 1
3.845119 0.000000 1.818480 -0.903541 0.009894 -0.428388 0.800000 1
3.751231 0.000000 2.004926 -0.881158 0.009042 -0.472736 0.800000 1
3.648217 0.000000 2.186485 -0.856610 0.008120 -0.515901 0.800000 1
3.536334 0.000000 2.362707 -0.829968 0.007148 -0.557766 0.800000 1
3.415864 0.000000 2.533156 -0.801308 0.006144 -0.598221 0.800000 1
3.287110 0.000000 2.697416 -0.770714 0.005126 -0.637161 0.800000 1
3.150401 0.000000 2.855086 -0.738274 0.004114 -0.674489 0.800000 1
3.006083 0.000000 3.005787 -0.704080 0.003123 -0.710114 0.800000 1
2.854521 0.000000 3.149158 -0.668231 0.002169 -0.743951 0.800000 1
2.696099 0.000000 3.284862 -0.630827 0.001267 -0.775923 0.800000 1
2.531216 0.000000 3.412582 -0.591968 0.000428 -0.805961 0.800000 1
2.360284 0.000000 3.532025 -0.531607 -0.000327 -0.846991 0.800000 1
2.178587 0.000000 3.634342 -0.510303 -0.001019 -0.859994 0.800000 1
2.001983 0.000000 3.745016 -0.488788 -0.001629 -0.872401 0.800000 1
1.815494 0.000000 3.838091 -0.424082 -0.002125 -0.905621 0.800000 1
1.624714 0.000000 3.921941 -0.379518 -0.002539 -0.925181 0.800000 1
1.430102 0.000000 3.996385 -0.334127 -0.002861 -0.942524 0.800000 1
1.232121 0.000000 4.061264 -0.288008 -0.003095 -0.957623 0.800000 1
1.031242 0.000000 4.116442 -0.241265 -0.003245 -0.970454 0.800000 1
0.827937 0.000000 4.161803 -0.193995 -0.003318 -0.980997 0.800000 1
0.622681 0.000000 4.197250 -0.146295 -0.003321 -0.989235 0.800000 1
0.415953 0.000000 4.222710 -0.098270 -0.003264 -0.995154 0.800000 1
0.208232 0.000000 4.238127 -0.050016 -0.003158 -0.998743 0.800000 1
0.000000 0.000000 4.243467 -0.001632 -0.003013 -0.999994 0.800000 1
-0.208261 0.000000 4.238714 0.046783 -0.002838 -0.998901 0.800000 1
-0.416067 0.000000 4.223875 0.095129 -0.002646 -0.995461 0.800000 1
-0.622936 0.000000 4.198973 0.143303 -0.002447 -0.989676 0.800000 1
-0.828385 0.000000 4.164054 0.191203 -0.002252 -0.981548 0.800000 1
-1.031929 0.000000 4.119186 0.238727 -0.002069 -0.971085 0.800000 1
-1.233089 0.000000 4.064454 0.285764 -0.001907 -0.958298 0.800000 1
-1.431384 0.000000 3.999969 0.332207 -0.001771 -0.943205 0.800000 1
-1.626338 0.000000 3.925860 0.377944 -0.001669 -0.925827 0.800000 1
-1.817477 0.000000 3.842284 0.422868 -0.001602 -0.906190 0.800000 1
-2.004335 0.000000 3.749416 0.487939 -0.001608 -0.872876 0.800000 1
-2.181307 0.000000 3.638880 0.509789 -0.001580 -0.860298 0.800000 1
-2.363364 0.000000 3.536634 0.531499 -0.001596 -0.847057 0.800000 1
-2.534636 0.000000 3.417194 0.592145 -0.001712 -0.805830 0.800000 1
-2.699832 0.000000 3.289411 0.631295 -0.001822 -0.775541 0.800000 1
-2.858531 0.000000 3.153582 0.668953 -0.001955 -0.743302 0.800000 1
-3.010325 0.000000 3.010029 0.705015 -0.002105 -0.709189 0.800000 1
-3.154825 0.000000 2.859096 0.739376 -0.002263 -0.673289 0.800000 1
-3.291659 0.000000 2.701149 0.771939 -0.002418 -0.635692 0.800000 1
-3.420475 0.000000 2.536577 0.802609 -0.002563 -0.596500 0.800000 1
-3.540943 0.000000 2.365786 0.831300 -0.002687 -0.555817 0.800000 1
-3.652756 0.000000 2.189206 0.857932 -0.002780 -0.513756 0.800000 1
-3.755631 0.000000 2.007278 0.882432 -0.002832 -0.470432 0.800000 1
-3.849312 0.000000 1.820463 0.904734 -0.002836 -0.425967 0.800000 1
-3.933569 0.000000 1.629233 0.924783 -0.002782 -0.380484 0.800000 1
-4.008200 0.000000 1.434073 0.942530 -0.002664 -0.334110 0.800000 1
-4.073030 0.000000 1.235475 0.957936 -0.002477 -0.286972 0.800000 1
-4.127913 0.000000 1.033940 0.970968 -0.002217 -0.239198 0.800000 1
-4.172733 0.000000 0.829975 0.981604 -0.001883 -0.190919 0.800000 1
-4.207399 0.000000 0.624088 0.989829 -0.001472 -0.142258 0.800000 1
-4.231851 0.000000 0.416791 0.995634 -0.000988 -0.093343 0.800000 1
-4.246054 0.000000 0.208592 0.999794 -0.000483 -0.020315 0.800000 1
-4.240000 0.000000 0.000000 0.999989 0.000180 0.004688 0.800000 1
-4.243708 0.000000 -0.208480 0.999556 0.000902 0.029783 0.800000 1
-4.227219 0.000000 -0.416345 0.994738 0.001573 0.102439 0.800000 1
-4.200601 0.000000 -0.623100 0.988556 0.002324 0.150840 0.800000 1
-4.163942 0.000000 -0.828260 0.980034 0.003099 0.198804 0.800000 1
-4.117352 0.000000 -1.031343 0.969204 0.003880 0.246228 0.800000 1
-4.060963 0.000000 -1.231880 0.956098 0.004652 0.293010 0.800000 1
-3.994925 0.000000 -1.429407 0.940751 0.005400 0.339054 0.800000 1
-3.919407 0.000000 -1.623471 0.923203 0.006107 0.384264 0.800000 1
-3.834597 0.000000 -1.813629 0.903494 0.006756 0.428547 0.800000 1
-3.740700 0.000000 -1.999446 0.881668 0.007333 0.471812 0.800000 1
-3.637937 0.000000 -2.180496 0.857771 0.007821 0.513972 0.800000 1
-3.526548 0.000000 -2.356364 0.831852 0.008205 0.554936 0.800000 1
-3.406789 0.000000 -2.526647 0.803963 0.008473 0.594619 0.800000 1
-3.278929 0.000000 -2.690948 0.774158 0.008614 0.632934 0.800000 1
-3.143259 0.000000 -2.848884 0.742496 0.008617 0.669796 0.800000 1
-3.000082 0.000000 -3.000082 0.709038 0.008476 0.705119 0.800000 1
-2.849720 0.000000 -3.144182 0.673852 0.008187 0.738821 0.800000 1
-2.692511 0.000000 -3.280833 0.637008 0.007747 0.770818 0.800000 1
-2.528808 0.000000 -3.409703 0.598583 0.007156 0.801029 0.800000 1
-2.358983 0.000000 -3.530468 0.538598 0.006408 0.842539 0.800000 1
-2.178284 0.000000 -3.634248 0.517325 0.005532 0.855771 0.800000 1
-2.002537 0.000000 -3.746484 0.495620 0.004544 0.868528 0.800000 1
-1.816741 0.000000 -3.841176 0.430781 0.003404 0.902450 0.800000 1
-1.626472 0.000000 -3.926650 0.385785 0.002170 0.922586 0.800000 1
-1.432180 0.000000 -4.002675 0.339782 0.000847 0.940504 0.800000 1
-1.234331 0.000000 -4.069044 0.292888 -0.000546 0.956147 0.800000 1
-1.033402 0.000000 -4.125574 0.245223 -0.001989 0.969465 0.800000 1
-0.829883 0.000000 -4.172104 0.196913 -0.003461 0.980415 0.800000 1
-0.624273 0.000000 -4.208504 0.148084 -0.004939 0.988962 0.800000 1
-0.417078 0.000000 -4.234667 0.098866 -0.006399 0.995080 0.800000 1
-0.208814 0.000000 -4.250515 0.049395 -0.007818 0.998749 0.800000 1
-0.000000 0.000000 -4.256000 -0.000194 -0.009172 0.999958 0.800000 1
0.208843 0.000000 -4.251102 -0.049769 -0.010439 0.998706 0.800000 1
0.417193 0.000000 -4.235832 -0.099197 -0.011598 0.995000 0.800000 1
0.624528 0.000000 -4.210227 -0.148344 -0.012629 0.988855 0.800000 1
0.830331 0.000000 -4.174356 -0.197079 -0.013513 0.980294 0.800000 1
1.034090 0.000000 -4.128317 -0.245278 -0.014233 0.969348 0.800000 1
1.235299 0.000000 -4.072234 -0.292817 -0.014778 0.956054 0.800000 1
1.433462 0.000000 -4.006258 -0.339575 -0.015137 0.940457 0.800000 1
1.628095 0.000000 -3.930569 -0.385440 -0.015301 0.922606 0.800000 1
1.818724 0.000000 -3.845369 -0.430302 -0.015266 0.902556 0.800000 1
2.004889 0.000000 -3.750884 -0.494994 -0.014998 0.868767 0.800000 1
2.181005 0.000000 -3.638786 -0.516639 -0.014582 0.856079 0.800000 1
2.362063 0.000000 -3.535077 -0.537779 -0.014015 0.842969 0.800000 1
2.532228 0.000000 -3.414314 -0.597705 -0.013161 0.801608 0.800000 1
2.696244 0.000000 -3.285383 -0.636085 -0.012179 0.771523 0.800000 1
2.853730 0.000000 -3.148606 -0.672910 -0.011038 0.739642 0.800000 1
3.004325 0.000000 -3.004325 -0.708103 -0.009755 0.706042 0.800000 1
3.147684 0.000000 -2.852894 -0.741594 -0.008351 0.670797 0.800000 1
3.283478 0.000000 -2.694681 -0.773312 -0.006846 0.633989 0.800000 1
3.411400 0.000000 -2.530067 -0.803192 -0.005263 0.595697 0.800000 1
3.531157 0.000000 -2.359444 -0.831173 -0.003626 0.556001 0.800000 1
3.642476 0.000000 -2.183216 -0.857195 -0.001959 0.514988 0.800000 1
3.745099 0.000000 -2.001797 -0.881201 -0.000287 0.472741 0.800000 1
3.838789 0.000000 -1.815612 -0.903137 0.001365 0.429349 0.800000 1
3.923326 0.000000 -1.625095 -0.922952 0.002973 0.384904 0.800000 1
3.998509 0.000000 -1.430689 -0.940596 0.004513 0.339497 0.800000 1
4.064153 0.000000 -1.232847 -0.956025 0.005964 0.293226 0.800000 1
4.120096 0.000000 -1.032030 -0.969194 0.007308 0.246192 0.800000 1
4.166194 0.000000 -0.828708 -0.980064 0.008526 0.198497 0.800000 1
4.202324 0.000000 -0.623356 -0.988601 0.009603 0.150250 0.800000 1
4.228384 0.000000 -0.416460 -0.994774 0.010527 0.101561 0.800000 1
4.244295 0.000000 -0.208509 -0.999526 0.011340 0.028630 0.800000 1
4.245904 0.494946 0.001000 -0.999976 0.006026 0.003584 0.800000 1
4.251521 0.494939 0.209846 -0.999740 0.006289 -0.021922 0.800000 1
4.236791 0.494956 0.418246 -0.995432 0.006536 -0.095244 0.800000 1
4.211735 0.494986 0.625684 -0.989487 0.006636 -0.144472 0.800000 1
4.176399 0.495028 0.831639 -0.981098 0.006642 -0.193396 0.800000 1
4.130860 0.495083 1.035595 -0.970283 0.006563 -0.241884 0.800000 1
4.075225 0.495149 1.237038 -0.957064 0.006408 -0.289805 0.800000 1
4.009629 0.495227 1.435462 -0.941475 0.006188 -0.337025 0.800000 1
3.934236 0.495317 1.630366 -0.923557 0.005914 -0.383415 0.800000 1
3.849236 0.495418 1.821262 -0.903359 0.005599 -0.428848 0.800000 1
3.754852 0.495530 2.007674 -0.880939 0.005255 -0.473201 0.800000 1
3.651326 0.495653 2.189137 -0.856361 0.004896 -0.516355 0.800000 1
3.538930 0.495787 2.365204 -0.829697 0.004533 -0.558195 0.800000 1
3.417958 0.495931 2.535445 -0.801027 0.004178 -0.598614 0.800000 1
3.288727 0.496085 2.699450 -0.770432 0.003842 -0.637510 0.800000 1
3.151573 0.496248 2.856825 -0.738004 0.003534 -0.674788 0.800000 1
3.006851 0.496421 3.007200 -0.703833 0.003263 -0.710358 0.800000 1
2.854935 0.496601 3.150224 -0.668017 0.003035 -0.744140 0.800000 1
2.696213 0.496790 3.285570 -0.630654 0.002854 -0.776059 0.800000 1
2.531084 0.496987 3.412931 -0.591844 0.002725 -0.806048 0.800000 1
2.359963 0.497191 3.532022 -0.531519 0.002647 -0.847042 0.800000 1
2.178133 0.497407 3.634006 -0.510313 0.002619 -0.859985 0.800000 1
2.001448 0.497618 3.744374 -0.488819 0.002645 -0.872381 0.800000 1
1.814928 0.497840 3.837175 -0.424174 0.002705 -0.905577 0.800000 1
1.624159 0.498067 3.920789 -0.379657 0.002808 -0.925123 0.800000 1
1.429594 0.498298 3.995040 -0.334305 0.002941 -0.942461 0.800000 1
1.231692 0.498534 4.059771 -0.288215 0.003096 -0.957561 0.800000 1
1.030914 0.498773 4.114845 -0.241489 0.003262 -0.970398 0.800000 1
0.827726 0.499015 4.160147 -0.194223 0.003430 -0.980951 0.800000 1
0.622598 0.499259 4.195578 -0.146515 0.003589 -0.989202 0.800000 1
0.416000 0.499505 4.221060 -0.098468 0.003727 -0.995133 0.800000 1
0.208407 0.499752 4.236532 -0.050176 0.003834 -0.998733 0.800000 1
0.000298 0.500000 4.241956 -0.001743 0.003899 -0.999991 0.800000 1
-0.207850 0.500248 4.237309 0.046730 0.003914 -0.998900 0.800000 1
-0.415555 0.500495 4.222592 0.095147 0.003869 -0.995456 0.800000 1
-0.622335 0.500741 4.197821 0.143398 0.003757 -0.989658 0.800000 1
-0.827706 0.500986 4.163038 0.191379 0.003573 -0.981510 0.800000 1
-1.031185 0.501228 4.118303 0.238984 0.003313 -0.971018 0.800000 1
-1.232288 0.501467 4.063698 0.286104 0.002974 -0.958194 0.800000 1
-1.430534 0.501703 3.999330 0.332624 0.002557 -0.943056 0.800000 1
-1.625443 0.501935 3.925326 0.378432 0.002064 -0.925627 0.800000 1
-1.816538 0.502163 3.841839 0.423417 0.001498 -0.905934 0.800000 1
-2.003351 0.502385 3.749047 0.488520 0.000819 -0.872552 0.800000 1
-2.180274 0.502596 3.638572 0.510446 0.000175 -0.859910 0.800000 1
-2.362276 0.502812 3.536375 0.532146 -0.000519 -0.846652 0.800000 1
-2.533488 0.503016 3.416974 0.592803 -0.001344 -0.805346 0.800000 1
-2.698615 0.503213 3.289223 0.631941 -0.002146 -0.775014 0.800000 1
-2.857239 0.503402 3.153423 0.669571 -0.002960 -0.742742 0.800000 1
