# x y z label
-0.000001 0.998694 1.675184 1
0.000001 2.997445 1.675184 1
0.000004 4.996196 1.675184 1
0.000006 6.994947 1.675184 1
0.000009 8.993699 1.675184 1
0.000012 10.992450 1.675184 1
0.000014 12.991201 1.675184 1
0.000017 14.989953 1.675184 1
0.000019 16.988705 1.675184 1
0.000022 18.987455 1.675184 1
0.000024 20.986206 1.675184 1
0.000027 22.984959 1.675184 1
0.000029 24.983709 1.675184 1
0.000032 26.982460 1.675184 1
0.000035 28.981213 1.675184 1
0.000037 30.979963 1.675184 1
0.000040 32.978714 1.675184 1
0.000042 34.977467 1.675184 1
0.000045 36.976215 1.675184 1
0.000047 38.974968 1.675184 1
0.000050 40.973721 1.675184 1
0.000052 42.972469 1.675184 1
0.000055 44.971222 1.675184 1
0.000058 46.969975 1.675184 1
0.000060 48.968723 1.675184 1
0.000063 50.967476 1.675184 1
0.000065 52.966228 1.675184 1
0.000068 54.964977 1.675184 1
0.000070 56.963730 1.675184 1
0.000073 58.962482 1.675184 1
0.000075 60.961231 1.675184 1
0.000078 62.959984 1.675184 1
0.000081 64.958733 1.675184 1
0.000083 66.957489 1.675184 1
0.000086 68.956238 1.675184 1
0.000088 70.954987 1.675184 1
0.000091 72.953743 1.675184 1
0.000093 74.952492 1.675184 1
0.000096 76.951241 1.675184 1
0.000098 78.949997 1.675184 1
-0.097890 0.998694 1.670375 1
-0.097888 2.997445 1.670375 1
-0.097885 4.996196 1.670375 1
-0.097883 6.994947 1.670375 1
-0.097880 8.993699 1.670375 1
-0.097878 10.992450 1.670375 1
-0.097875 12.991201 1.670375 1
-0.097872 14.989953 1.670375 1
-0.097870 16.988705 1.670375 1
-0.097867 18.987455 1.670375 1
-0.097865 20.986206 1.670375 1
-0.097862 22.984959 1.670375 1
-0.097860 24.983709 1.670375 1
-0.097857 26.982460 1.670375 1
-0.097855 28.981213 1.670375 1
-0.097852 30.979963 1.670375 1
-0.097849 32.978714 1.670375 1
-0.097847 34.977467 1.670375 1
-0.097844 36.976215 1.670375 1
-0.097842 38.974968 1.670375 1
-0.097839 40.973721 1.670375 1
-0.097837 42.972469 1.670375 1
-0.097834 44.971222 1.670375 1
-0.097832 46.969975 1.670375 1
-0.097829 48.968723 1.670375 1
-0.097826 50.967476 1.670375 1
-0.097824 52.966228 1.670375 1
-0.097821 54.964977 1.670375 1
-0.097819 56.963730 1.670375 1
-0.097816 58.962482 1.670375 1
-0.097814 60.961231 1.670375 1
-0.097811 62.959984 1.670375 1
-0.097809 64.958733 1.670375 1
-0.097806 66.957489 1.670375 1
-0.097803 68.956238 1.670375 1
-0.097801 70.954987 1.670375 1
-0.097798 72.953743 1.670375 1
-0.097796 74.952492 1.670375 1
-0.097793 76.951241 1.670375 1
-0.097791 78.949997 1.670375 1
-0.194837 0.998694 1.655995 1
-0.194834 2.997445 1.655995 1
-0.194832 4.996197 1.655995 1
-0.194829 6.994948 1.655995 1
-0.194826 8.993699 1.655995 1
-0.194824 10.992450 1.655995 1
-0.194821 12.991201 1.655995 1
-0.194819 14.989953 1.655995 1
-0.194816 16.988705 1.655995 1
-0.194814 18.987455 1.655995 1
-0.194811 20.986206 1.655995 1
-0.194809 22.984959 1.655995 1
-0.194806 24.983709 1.655995 1
-0.194803 26.982460 1.655995 1
-0.194801 28.981213 1.655995 1
-0.194798 30.979963 1.655995 1
-0.194796 32.978714 1.655995 1
-0.194793 34.977467 1.655995 1
-0.194791 36.976215 1.655995 1
-0.194788 38.974968 1.655995 1
-0.194786 40.973721 1.655995 1
-0.194783 42.972469 1.655995 1
-0.194780 44.971222 1.655995 1
-0.194778 46.969975 1.655995 1
-0.194775 48.968723 1.655995 1
-0.194773 50.967476 1.655995 1
-0.194770 52.966228 1.655995 1
-0.194768 54.964977 1.655995 1
-0.194765 56.963730 1.655995 1
-0.194763 58.962482 1.655995 1
-0.194760 60.961231 1.655995 1
-0.194757 62.959984 1.655995 1
-0.194755 64.958733 1.655995 1
-0.194752 66.957489 1.655995 1
-0.194750 68.956238 1.655995 1
-0.194747 70.954987 1.655995 1
-0.194745 72.953743 1.655995 1
-0.194742 74.952492 1.655995 1
-0.194740 76.951241 1.655995 1
-0.194737 78.949997 1.655995 1
-0.289907 0.998694 1.632180 1
-0.289904 2.997446 1.632180 1
-0.289902 4.996197 1.632180 1
-0.289899 6.994948 1.632180 1
-0.289896 8.993699 1.632180 1
-0.289894 10.992450 1.632180 1
-0.289891 12.991201 1.632180 1
-0.289889 14.989953 1.632180 1
-0.289886 16.988705 1.632180 1
-0.289884 18.987455 1.632180 1
-0.289881 20.986206 1.632180 1
-0.289879 22.984959 1.632180 1
-0.289876 24.983709 1.632180 1
-0.289873 26.982460 1.632180 1
-0.289871 28.981213 1.632180 1
-0.289868 30.979963 1.632180 1
-0.289866 32.978714 1.632180 1
-0.289863 34.977467 1.632180 1
-0.289861 36.976215 1.632180 1
-0.289858 38.974968 1.632180 1
-0.289856 40.973721 1.632180 1
-0.289853 42.972469 1.632180 1
-0.289850 44.971222 1.632180 1
-0.289848 46.969975 1.632180 1
-0.289845 48.968723 1.632180 1
-0.289843 50.967476 1.632180 1
-0.289840 52.966228 1.632180 1
-0.289838 54.964977 1.632180 1
-0.289835 56.963730 1.632180 1
-0.289833 58.962482 1.632180 1
-0.289830 60.961231 1.632180 1
-0.289827 62.959984 1.632180 1
-0.289825 64.958733 1.632180 1
-0.289822 66.957489 1.632180 1
-0.289820 68.956238 1.632180 1
-0.289817 70.954987 1.632180 1
-0.289815 72.953743 1.632180 1
-0.289812 74.952492 1.632180 1
-0.289809 76.951241 1.632180 1
-0.289807 78.949997 1.632180 1
-0.382185 0.998694 1.599163 1
-0.382182 2.997446 1.599163 1
-0.382180 4.996197 1.599163 1
-0.382177 6.994948 1.599163 1
-0.382174 8.993700 1.599163 1
-0.382172 10.992451 1.599163 1
-0.382169 12.991202 1.599163 1
-0.382167 14.989954 1.599163 1
-0.382164 16.988705 1.599163 1
-0.382162 18.987455 1.599163 1
-0.382159 20.986206 1.599163 1
-0.382157 22.984959 1.599163 1
-0.382154 24.983709 1.599163 1
-0.382151 26.982460 1.599163 1
-0.382149 28.981213 1.599163 1
-0.382146 30.979963 1.599163 1
-0.382144 32.978714 1.599163 1
-0.382141 34.977467 1.599163 1
-0.382139 36.976215 1.599163 1
-0.382136 38.974968 1.599163 1
