# x y z nx ny nz intensity label damage_type
-0.048996 0.000000 1.670232 -0.048926 0.000313 0.998802 0.500000 1 0
-0.048996 0.998694 1.669919 -0.048926 0.000313 0.998802 0.500000 1 0
-0.097939 0.000000 1.667834 -0.048926 0.000313 0.998802 0.500000 1 0
-0.048996 -0.998694 1.670545 -0.048926 0.000313 0.998802 0.500000 1 0
-0.000050 0.000000 1.672629 -0.048926 0.000313 0.998802 0.500000 1 0
-0.048992 1.998751 1.669541 -0.048888 0.000378 0.998804 0.500000 1 0
-0.048992 2.997445 1.669163 -0.048888 0.000378 0.998804 0.500000 1 0
-0.097939 1.998752 1.667145 -0.048888 0.000378 0.998804 0.500000 1 0
-0.048992 1.000058 1.669919 -0.048888 0.000378 0.998804 0.500000 1 0
-0.000050 1.998751 1.671937 -0.048888 0.000378 0.998804 0.500000 1 0
-0.048988 3.997503 1.668713 -0.048841 0.000450 0.998806 0.500000 1 0
-0.048992 4.996196 1.668264 -0.048841 0.000450 0.998806 0.500000 1 0
-0.097935 3.997503 1.666320 -0.048841 0.000450 0.998806 0.500000 1 0
-0.048988 2.998809 1.669163 -0.048841 0.000450 0.998806 0.500000 1 0
-0.000046 3.997503 1.671107 -0.048841 0.000450 0.998806 0.500000 1 0
-0.048988 5.996254 1.667737 -0.048788 0.000527 0.998809 0.500000 1 0
-0.048988 6.994947 1.667210 -0.048788 0.000527 0.998809 0.500000 1 0
-0.097931 5.996254 1.665346 -0.048788 0.000527 0.998809 0.500000 1 0
-0.048988 4.997560 1.668263 -0.048788 0.000527 0.998809 0.500000 1 0
-0.000042 5.996254 1.670127 -0.048788 0.000527 0.998809 0.500000 1 0
-0.048985 7.995005 1.666602 -0.048725 0.000608 0.998812 0.500000 1 0
-0.048985 8.993699 1.665994 -0.048725 0.000608 0.998812 0.500000 1 0
-0.097931 7.995006 1.664214 -0.048725 0.000608 0.998812 0.500000 1 0
-0.048985 6.996312 1.667209 -0.048725 0.000608 0.998812 0.500000 1 0
-0.000042 7.995006 1.668989 -0.048725 0.000608 0.998812 0.500000 1 0
-0.048981 9.993756 1.665304 -0.048653 0.000690 0.998815 0.500000 1 0
-0.048981 10.992450 1.664614 -0.048653 0.000690 0.998815 0.500000 1 0
-0.097927 9.993756 1.662920 -0.048653 0.000690 0.998815 0.500000 1 0
-0.048981 8.995063 1.665993 -0.048653 0.000690 0.998815 0.500000 1 0
-0.000038 9.993756 1.667688 -0.048653 0.000690 0.998815 0.500000 1 0
-0.048981 11.992508 1.663844 -0.048571 0.000770 0.998819 0.500000 1 0
-0.048981 12.991201 1.663074 -0.048571 0.000770 0.998819 0.500000 1 0
-0.097923 11.992508 1.661463 -0.048571 0.000770 0.998819 0.500000 1 0
-0.048981 10.993814 1.664613 -0.048571 0.000770 0.998819 0.500000 1 0
-0.000034 11.992508 1.666224 -0.048571 0.000770 0.998819 0.500000 1 0
-0.048977 13.991260 1.662229 -0.048482 0.000844 0.998824 0.500000 1 0
-0.048977 14.989953 1.661385 -0.048482 0.000844 0.998824 0.500000 1 0
-0.097923 13.991259 1.659853 -0.048482 0.000844 0.998824 0.500000 1 0
-0.048977 12.992565 1.663073 -0.048482 0.000844 0.998824 0.500000 1 0
-0.000031 13.991259 1.664605 -0.048482 0.000844 0.998824 0.500000 1 0
-0.048973 15.990011 1.660475 -0.048385 0.000909 0.998828 0.500000 1 0
-0.048973 16.988705 1.659565 -0.048385 0.000909 0.998828 0.500000 1 0
-0.097919 15.990011 1.658104 -0.048385 0.000909 0.998828 0.500000 1 0
-0.048973 14.991317 1.661384 -0.048385 0.000909 0.998828 0.500000 1 0
-0.000031 15.990011 1.662845 -0.048385 0.000909 0.998828 0.500000 1 0
-0.048973 17.988762 1.658604 -0.048282 0.000961 0.998833 0.500000 1 0
-0.048973 18.987455 1.657643 -0.048282 0.000961 0.998833 0.500000 1 0
-0.097916 17.988762 1.656238 -0.048282 0.000961 0.998833 0.500000 1 0
-0.048973 16.990068 1.659564 -0.048282 0.000961 0.998833 0.500000 1 0
-0.000027 17.988762 1.660970 -0.048282 0.000961 0.998833 0.500000 1 0
-0.048969 19.987513 1.656648 -0.048173 0.000994 0.998838 0.500000 1 0
-0.048969 20.986206 1.655654 -0.048173 0.000994 0.998838 0.500000 1 0
-0.097912 19.987513 1.654288 -0.048173 0.000994 0.998838 0.500000 1 0
-0.048969 18.988819 1.657642 -0.048173 0.000994 0.998838 0.500000 1 0
-0.000023 19.987513 1.659009 -0.048173 0.000994 0.998838 0.500000 1 0
-0.048965 21.986265 1.654647 -0.048063 0.001006 0.998844 0.500000 1 0
-0.048965 22.984959 1.653641 -0.048063 0.001006 0.998844 0.500000 1 0
-0.097912 21.986263 1.652292 -0.048063 0.001006 0.998844 0.500000 1 0
-0.048965 20.987570 1.655653 -0.048063 0.001006 0.998844 0.500000 1 0
-0.000023 21.986263 1.657002 -0.048063 0.001006 0.998844 0.500000 1 0
-0.048965 23.985016 1.652647 -0.047951 0.000993 0.998849 0.500000 1 0
-0.048965 24.983709 1.651654 -0.047951 0.000993 0.998849 0.500000 1 0
-0.097908 23.985016 1.650297 -0.047951 0.000993 0.998849 0.500000 1 0
-0.048962 22.986322 1.653640 -0.047951 0.000993 0.998849 0.500000 1 0
-0.000019 23.985016 1.654997 -0.047951 0.000993 0.998849 0.500000 1 0
-0.048962 25.983768 1.650699 -0.047844 0.000954 0.998854 0.500000 1 0
-0.048962 26.982460 1.649746 -0.047844 0.000954 0.998854 0.500000 1 0
-0.097904 25.983767 1.648355 -0.047844 0.000954 0.998854 0.500000 1 0
-0.048962 24.985073 1.651653 -0.047844 0.000954 0.998854 0.500000 1 0
-0.000015 25.983767 1.653044 -0.047844 0.000954 0.998854 0.500000 1 0
-0.048958 27.982519 1.648859 -0.047741 0.000886 0.998859 0.500000 1 0
-0.048958 28.981213 1.647973 -0.047741 0.000886 0.998859 0.500000 1 0
-0.097904 27.982517 1.646520 -0.047741 0.000886 0.998859 0.500000 1 0
-0.048958 26.983824 1.649745 -0.047741 0.000886 0.998859 0.500000 1 0
-0.000015 27.982517 1.651198 -0.047741 0.000886 0.998859 0.500000 1 0
-0.048958 29.981270 1.647182 -0.047649 0.000791 0.998864 0.500000 1 0
-0.048958 30.979963 1.646392 -0.047649 0.000791 0.998864 0.500000 1 0
-0.097900 29.981270 1.644847 -0.047649 0.000791 0.998864 0.500000 1 0
-0.048954 28.982576 1.647972 -0.047649 0.000791 0.998864 0.500000 1 0
-0.000011 29.981270 1.649517 -0.047649 0.000791 0.998864 0.500000 1 0
-0.048954 31.980019 1.645722 -0.047568 0.000669 0.998868 0.500000 1 0
-0.048954 32.978714 1.645053 -0.047568 0.000669 0.998868 0.500000 1 0
-0.097897 31.980021 1.643391 -0.047568 0.000669 0.998868 0.500000 1 0
-0.048954 30.981327 1.646391 -0.047568 0.000669 0.998868 0.500000 1 0
-0.000008 31.980021 1.648053 -0.047568 0.000669 0.998868 0.500000 1 0
-0.048950 33.978775 1.644528 -0.047501 0.000525 0.998871 0.500000 1 0
-0.048950 34.977467 1.644004 -0.047501 0.000525 0.998871 0.500000 1 0
-0.097897 33.978775 1.642200 -0.047501 0.000525 0.998871 0.500000 1 0
-0.048950 32.980080 1.645052 -0.047501 0.000525 0.998871 0.500000 1 0
-0.000008 33.978775 1.646856 -0.047501 0.000525 0.998871 0.500000 1 0
-0.048950 35.977524 1.643642 -0.047452 0.000361 0.998873 0.500000 1 0
-0.048950 36.976215 1.643281 -0.047452 0.000361 0.998873 0.500000 1 0
-0.097893 35.977524 1.641317 -0.047452 0.000361 0.998873 0.500000 1 0
-0.048946 34.978828 1.644003 -0.047452 0.000361 0.998873 0.500000 1 0
-0.000004 35.977524 1.645967 -0.047452 0.000361 0.998873 0.500000 1 0
-0.048946 37.976276 1.643095 -0.047423 0.000185 0.998875 0.500000 1 0
-0.048946 38.974968 1.642910 -0.047423 0.000185 0.998875 0.500000 1 0
-0.097889 37.976273 1.640771 -0.047423 0.000185 0.998875 0.500000 1 0
-0.048946 36.977581 1.643281 -0.047423 0.000185 0.998875 0.500000 1 0
0.000000 37.976273 1.645419 -0.047423 0.000185 0.998875 0.500000 1 0
-0.048943 39.975029 1.642908 -0.047412 0.000002 0.998875 0.500000 1 0
-0.048943 40.973721 1.642905 -0.047412 0.000002 0.998875 0.500000 1 0
-0.097889 39.975029 1.640584 -0.047412 0.000002 0.998875 0.500000 1 0
-0.048943 38.976334 1.642910 -0.047412 0.000002 0.998875 0.500000 1 0
0.000000 39.975029 1.645231 -0.047412 0.000002 0.998875 0.500000 1 0
-0.048943 41.973778 1.643086 -0.047422 -0.000181 0.998875 0.500000 1 0
-0.048943 42.972469 1.643266 -0.047422 -0.000181 0.998875 0.500000 1 0
-0.097885 41.973778 1.640762 -0.047422 -0.000181 0.998875 0.500000 1 0
-0.048939 40.975082 1.642905 -0.047422 -0.000181 0.998875 0.500000 1 0
0.000004 41.973778 1.645410 -0.047422 -0.000181 0.998875 0.500000 1 0
-0.048939 43.972527 1.643624 -0.047452 -0.000357 0.998873 0.500000 1 0
-0.048939 44.971222 1.643981 -0.047452 -0.000357 0.998873 0.500000 1 0
-0.097881 43.972527 1.641299 -0.047452 -0.000357 0.998873 0.500000 1 0
-0.048939 42.973835 1.643267 -0.047452 -0.000357 0.998873 0.500000 1 0
0.000008 43.972527 1.645949 -0.047452 -0.000357 0.998873 0.500000 1 0
-0.048935 45.971283 1.644502 -0.047501 -0.000520 0.998871 0.500000 1 0
-0.048935 46.969975 1.645022 -0.047501 -0.000520 0.998871 0.500000 1 0
-0.097881 45.971283 1.642174 -0.047501 -0.000520 0.998871 0.500000 1 0
-0.048935 44.972588 1.643982 -0.047501 -0.000520 0.998871 0.500000 1 0
0.000008 45.971283 1.646830 -0.047501 -0.000520 0.998871 0.500000 1 0
-0.048935 47.970032 1.645689 -0.047566 -0.000665 0.998868 0.500000 1 0
-0.048935 48.968723 1.646354 -0.047566 -0.000665 0.998868 0.500000 1 0
-0.097878 47.970032 1.643358 -0.047566 -0.000665 0.998868 0.500000 1 0
-0.048931 46.971336 1.645023 -0.047566 -0.000665 0.998868 0.500000 1 0
0.000011 47.970032 1.648019 -0.047566 -0.000665 0.998868 0.500000 1 0
-0.048931 49.968784 1.647143 -0.047647 -0.000788 0.998864 0.500000 1 0
-0.048931 50.967476 1.647930 -0.047647 -0.000788 0.998864 0.500000 1 0
-0.097874 49.968781 1.644808 -0.047647 -0.000788 0.998864 0.500000 1 0
-0.048931 48.970089 1.646355 -0.047647 -0.000788 0.998864 0.500000 1 0
0.000015 49.968781 1.649477 -0.047647 -0.000788 0.998864 0.500000 1 0
-0.048927 51.967537 1.648815 -0.047739 -0.000884 0.998859 0.500000 1 0
-0.048927 52.966228 1.649698 -0.047739 -0.000884 0.998859 0.500000 1 0
-0.097874 51.967537 1.646476 -0.047739 -0.000884 0.998859 0.500000 1 0
-0.048927 50.968842 1.647931 -0.047739 -0.000884 0.998859 0.500000 1 0
0.000015 51.967537 1.651154 -0.047739 -0.000884 0.998859 0.500000 1 0
-0.048927 53.966286 1.650652 -0.047841 -0.000952 0.998855 0.500000 1 0
-0.048927 54.964977 1.651604 -0.047841 -0.000952 0.998855 0.500000 1 0
-0.097870 53.966286 1.648308 -0.047841 -0.000952 0.998855 0.500000 1 0
-0.048923 52.967590 1.649700 -0.047841 -0.000952 0.998855 0.500000 1 0
0.000019 53.966286 1.652996 -0.047841 -0.000952 0.998855 0.500000 1 0
-0.048923 55.965034 1.652598 -0.047949 -0.000992 0.998849 0.500000 1 0
-0.048923 56.963730 1.653590 -0.047949 -0.000992 0.998849 0.500000 1 0
-0.097866 55.965034 1.650248 -0.047949 -0.000992 0.998849 0.500000 1 0
-0.048923 54.966343 1.651605 -0.047949 -0.000992 0.998849 0.500000 1 0
0.000023 55.965034 1.654947 -0.047949 -0.000992 0.998849 0.500000 1 0
-0.048920 57.963791 1.654597 -0.048060 -0.001006 0.998844 0.500000 1 0
-0.048920 58.962482 1.655603 -0.048060 -0.001006 0.998844 0.500000 1 0
-0.097866 57.963791 1.652242 -0.048060 -0.001006 0.998844 0.500000 1 0
-0.048920 56.965096 1.653591 -0.048060 -0.001006 0.998844 0.500000 1 0
0.000023 57.963791 1.656952 -0.048060 -0.001006 0.998844 0.500000 1 0
-0.048920 59.962540 1.656599 -0.048170 -0.000994 0.998839 0.500000 1 0
-0.048920 60.961231 1.657593 -0.048170 -0.000994 0.998839 0.500000 1 0
-0.097862 59.962540 1.654238 -0.048170 -0.000994 0.998839 0.500000 1 0
-0.048916 58.963844 1.655604 -0.048170 -0.000994 0.998839 0.500000 1 0
0.000027 59.962540 1.658959 -0.048170 -0.000994 0.998839 0.500000 1 0
-0.048916 61.961292 1.658556 -0.048278 -0.000961 0.998833 0.500000 1 0
-0.048916 62.959984 1.659517 -0.048278 -0.000961 0.998833 0.500000 1 0
-0.097858 61.961288 1.656190 -0.048278 -0.000961 0.998833 0.500000 1 0
-0.048916 60.962597 1.657595 -0.048278 -0.000961 0.998833 0.500000 1 0
0.000031 61.961288 1.660922 -0.048278 -0.000961 0.998833 0.500000 1 0
-0.048912 63.960041 1.660429 -0.048382 -0.000910 0.998828 0.500000 1 0
-0.048912 64.958733 1.661339 -0.048382 -0.000910 0.998828 0.500000 1 0
-0.097858 63.960037 1.658058 -0.048382 -0.000910 0.998828 0.500000 1 0
-0.048912 62.961346 1.659519 -0.048382 -0.000910 0.998828 0.500000 1 0
0.000031 63.960037 1.662800 -0.048382 -0.000910 0.998828 0.500000 1 0
-0.048912 65.958794 1.662187 -0.048480 -0.000846 0.998824 0.500000 1 0
-0.048912 66.957489 1.663032 -0.048480 -0.000846 0.998824 0.500000 1 0
-0.097855 65.958794 1.659811 -0.048480 -0.000846 0.998824 0.500000 1 0
-0.048908 64.960098 1.661341 -0.048480 -0.000846 0.998824 0.500000 1 0
0.000034 65.958794 1.664562 -0.048480 -0.000846 0.998824 0.500000 1 0
-0.048908 67.957542 1.663805 -0.048569 -0.000771 0.998820 0.500000 1 0
-0.048908 68.956238 1.664576 -0.048569 -0.000771 0.998820 0.500000 1 0
-0.097851 67.957542 1.661425 -0.048569 -0.000771 0.998820 0.500000 1 0
-0.048908 66.958847 1.663034 -0.048569 -0.000771 0.998820 0.500000 1 0
0.000038 67.957542 1.666185 -0.048569 -0.000771 0.998820 0.500000 1 0
-0.048904 69.956299 1.665269 -0.048651 -0.000691 0.998816 0.500000 1 0
-0.048904 70.954987 1.665961 -0.048651 -0.000691 0.998816 0.500000 1 0
