# x y z nx ny nz intensity label station_id range_m
0.108093 10.139482 -0.049701 -0.024402 -0.999702 0.000000 0.392871 3 0 2.6162
0.108116 10.141188 0.015094 -0.024402 -0.999702 0.000000 0.393921 3 0 2.5790
0.108120 10.141508 0.079055 -0.024402 -0.999702 0.000000 0.387827 3 0 2.5439
0.109038 10.211900 0.098562 0.000000 0.000000 1.000000 0.333679 3 0 2.5930
0.110406 10.316692 0.100466 0.000000 0.000000 1.000000 0.311748 3 0 2.6858
0.123680 11.333976 -0.399184 0.007001 -0.000188 0.999976 0.395058 1 0 3.8176
0.116570 10.789085 -0.021520 -0.025949 -0.999663 0.000000 0.401007 3 0 3.1576
0.116580 10.789873 0.052034 -0.025949 -0.999663 0.000000 0.358208 3 0 3.1238
0.117232 10.839808 0.100755 0.000000 0.000000 1.000000 0.328114 3 0 3.1497
0.119360 11.002892 0.099732 0.000000 0.000000 1.000000 0.326178 3 0 3.2957
0.125051 11.439110 -0.010451 -0.027497 -0.999622 0.000000 0.403949 3 0 3.7406
0.125063 11.440016 0.073551 -0.027497 -0.999622 0.000000 0.394406 3 0 3.7085
0.127014 11.589506 0.100341 0.000000 0.000000 1.000000 0.307305 3 0 3.8398
0.133557 12.090954 0.008972 -0.029044 -0.999578 0.000000 0.412089 3 0 4.3398
0.133771 12.107392 0.099273 0.000000 0.000000 1.000000 0.341669 3 0 4.3255
0.142038 12.740921 0.000344 -0.030590 -0.999532 0.000000 0.412210 3 0 4.9603
0.142419 12.770129 0.100067 0.000000 0.000000 1.000000 0.317754 3 0 4.9618
0.150516 13.390689 0.045784 -0.032137 -0.999483 0.000000 0.413182 3 0 5.5738
0.158965 14.038148 0.011540 -0.033684 -0.999433 0.000000 0.398730 3 0 6.2132
0.161739 14.250772 0.098651 0.000000 0.000000 1.000000 0.283549 3 0 6.3930
0.175953 15.340079 0.023420 -0.036777 -0.999323 0.000000 0.410149 3 0 7.4821
0.184449 15.991212 0.069946 -0.038325 -0.999265 0.000000 0.393402 3 0 8.1134
0.201433 17.292803 0.044938 -0.041417 -0.999142 0.000000 0.397856 3 0 9.4016
0.218340 18.588531 0.075211 -0.044509 -0.999009 0.000000 0.418659 3 0 10.6860
0.243866 20.544836 0.087692 -0.049147 -0.998792 0.000000 0.404894 3 0 12.6230
0.286303 23.797096 0.068504 -0.056874 -0.998381 0.000000 0.342557 3 0 15.8646
0.345884 28.363264 0.098122 -0.067686 -0.997707 0.000000 0.369848 3 0 20.4100
0.473589 38.150349 0.081602 -0.090828 -0.995867 0.000000 0.290603 3 0 30.1892
0.685099 54.359989 0.317803 0.991438 -0.130579 0.000000 0.159580 4 0 46.3885
0.793749 62.686764 2.405704 0.988771 -0.149438 0.000000 0.160472 6 0 54.7106
0.759206 60.039417 5.638635 0.779700 -0.111582 -0.616130 0.148480 1 0 52.2137
0.698392 55.378780 6.264332 0.646352 -0.085439 -0.758241 0.173464 1 0 47.6325
0.635524 50.560715 6.677680 0.529817 -0.063759 -0.845712 0.198825 1 0 42.8920
0.576968 46.073063 6.938392 0.445720 -0.048991 -0.893831 0.193806 1 0 38.4689
0.525167 42.103127 7.097806 0.357143 -0.036402 -0.933340 0.238754 1 0 34.5727
0.480730 38.697578 7.197052 0.311638 -0.029244 -0.949751 0.235319 1 0 31.2389
0.442829 35.792923 7.258482 0.265253 -0.023035 -0.963904 0.249119 1 0 28.4078
0.410711 33.331520 7.300561 0.218081 -0.017671 -0.975771 0.280282 1 0 26.0022
0.383096 31.215157 7.326738 0.170284 -0.013020 -0.985309 0.273218 1 0 23.9535
0.359245 29.387232 7.343507 0.170379 -0.012166 -0.985304 0.304441 1 0 22.1993
0.338734 27.815340 7.359773 0.122046 -0.008321 -0.992490 0.324618 1 0 20.6781
0.320512 26.418818 7.366281 0.122088 -0.007851 -0.992488 0.330528 1 0 19.3546
0.304655 25.203573 7.376396 0.122118 -0.007538 -0.992487 0.321611 1 0 18.1964
0.290414 24.112154 7.380932 0.073402 -0.004409 -0.997293 0.312825 1 0 17.1707
0.277560 23.127066 7.381132 0.073420 -0.004214 -0.997292 0.352606 1 0 16.2583
0.266170 22.254162 7.386421 0.073433 -0.004021 -0.997292 0.382456 1 0 15.4440
0.255778 21.457687 7.388622 0.073445 -0.003830 -0.997292 0.348818 1 0 14.7132
0.246308 20.731947 7.390171 0.073452 -0.003735 -0.997292 0.359381 1 0 14.0540
