# x y z nx ny nz intensity label station_id range_m
0.101149 11.345863 -0.400248 0.007001 -0.000188 0.999976 0.406877 1 0 3.8193
0.105081 12.124871 -0.399853 0.007001 -0.000204 0.999976 0.396030 1 0 4.5167
0.276569 46.098656 -0.277874 0.104555 -0.011434 0.994453 0.203879 1 0 38.1332
0.352937 61.227974 4.614105 0.922615 -0.134287 -0.361592 0.150848 1 0 53.3165
0.314981 53.708431 6.094509 0.679688 -0.086531 -0.728380 0.148707 1 0 45.9393
0.292875 49.328999 6.526092 0.566860 -0.067113 -0.821076 0.209726 1 0 41.6374
0.271952 45.183990 6.809734 0.485466 -0.053385 -0.872624 0.204273 1 0 37.5655
0.253296 41.487930 6.995239 0.399628 -0.040740 -0.915772 0.226129 1 0 33.9335
0.237037 38.266964 7.115563 0.355590 -0.033955 -0.934025 0.218955 1 0 30.7869
0.223029 35.491756 7.194489 0.264067 -0.023679 -0.964214 0.265455 1 0 28.0863
0.211032 33.115028 7.249328 0.264413 -0.022337 -0.964151 0.233775 1 0 25.7705
0.200655 31.059286 7.285867 0.217546 -0.017422 -0.975895 0.287324 1 0 23.7813
0.191681 29.281321 7.312726 0.169943 -0.012907 -0.985369 0.310801 1 0 22.0696
0.176954 26.363724 7.346621 0.170207 -0.011439 -0.985342 0.316893 1 0 19.2816
0.170826 25.149658 7.355674 0.121934 -0.008044 -0.992506 0.327456 1 0 18.1339
0.165392 24.073189 7.364252 0.121987 -0.007673 -0.992502 0.300708 1 0 17.1204
0.160511 23.106236 7.370435 0.122040 -0.007308 -0.992498 0.303488 1 0 16.2199
0.156119 22.236029 7.376146 0.122071 -0.006953 -0.992497 0.337754 1 0 15.4151
0.152119 21.443567 7.379471 0.073377 -0.004135 -0.997296 0.353582 1 0 14.6876
0.148462 20.719208 7.381105 0.073397 -0.004015 -0.997295 0.347692 1 0 14.0311
0.145121 20.057268 7.382841 0.073407 -0.003900 -0.997294 0.352443 1 0 13.4362
0.142059 19.450644 7.385264 0.073423 -0.003675 -0.997294 0.366822 1 0 12.8949
0.139235 18.891186 7.387764 0.073435 -0.003563 -0.997294 0.387301 1 0 12.4006
0.136600 18.369110 7.388023 0.073442 -0.003453 -0.997294 0.382947 1 0 11.9478
0.134180 17.889763 7.391823 0.073452 -0.003345 -0.997293 0.368776 1 0 11.5316
0.131890 17.436020 7.391507 0.073461 -0.003237 -0.997293 0.387680 1 0 11.1481
0.129767 17.015421 7.393774 0.024503 -0.001225 -0.999699 0.389398 1 0 10.7937
0.127774 16.620705 7.396091 0.024505 -0.001178 -0.999699 0.396024 1 0 10.4644
0.125893 16.247934 7.397526 0.024507 -0.001132 -0.999699 0.401261 1 0 10.1589
0.124074 15.887655 7.392563 0.024509 -0.001086 -0.999699 0.386321 1 0 9.8749
0.122396 15.555168 7.393973 0.024509 -0.001086 -0.999699 0.428106 1 0 9.6105
0.120805 15.239991 7.395488 0.024513 -0.001042 -0.999699 0.447494 1 0 9.3638
0.119281 14.938054 7.394968 0.024515 -0.001000 -0.999699 0.400877 1 0 9.1334
0.117843 14.653251 7.396867 0.024517 -0.000999 -0.999699 0.438077 1 0 8.9178
0.116457 14.378543 7.396095 0.024519 -0.000957 -0.999699 0.438904 1 0 8.7159
0.115127 14.115047 7.394457 0.024517 -0.000958 -0.999699 0.420474 1 0 8.5266
0.113869 13.865817 7.395948 0.024518 -0.000916 -0.999699 0.462846 1 0 8.3489
0.112659 13.626187 7.396988 0.024520 -0.000916 -0.999699 0.427527 1 0 8.1820
0.111480 13.392608 7.394482 0.024522 -0.000877 -0.999699 0.442294 1 0 8.0251
0.110378 13.174317 7.399427 0.024522 -0.000877 -0.999699 0.439091 1 0 7.8775
0.109294 12.959567 7.399497 0.024523 -0.000837 -0.999699 0.452626 1 0 7.7385
0.108244 12.751481 7.398689 0.024523 -0.000837 -0.999699 0.471627 1 0 7.6076
0.107227 12.550029 7.397560 0.024525 -0.000836 -0.999699 0.446665 1 0 7.4843
0.106249 12.356198 7.398104 0.024526 -0.000799 -0.999699 0.443445 1 0 7.3681
0.105294 12.167138 7.397135 0.024526 -0.000799 -0.999699 0.436110 1 0 7.2586
0.104379 11.985861 7.399567 0.024525 -0.000762 -0.999699 0.439860 1 0 7.1554
0.103475 11.806692 7.397611 0.024525 -0.000762 -0.999699 0.490086 1 0 7.0581
0.102605 11.634372 7.398985 0.024528 -0.000761 -0.999699 0.457955 1 0 6.9665
0.101756 11.466240 7.400176 0.024529 -0.000724 -0.999699 0.457442 1 0 6.8802
0.100930 11.302615 7.402279 0.024529 -0.000724 -0.999699 0.456326 1 0 6.7989
0.100108 11.139740 7.398848 0.024529 -0.000724 -0.999699 0.466838 1 0 6.7225
0.099317 10.983043 7.400361 0.024527 -0.000689 -0.999699 0.499461 1 0 6.6506
0.098539 10.828932 7.400605 0.024527 -0.000689 -0.999699 0.447478 1 0 6.5831
0.097766 10.675784 7.396257 0.024527 -0.000689 -0.999699 0.444628 1 0 6.5198
0.097027 10.529366 7.400609 0.024530 -0.000688 -0.999699 0.475122 1 0 6.4605
0.096290 10.383228 7.399663 0.024531 -0.000652 -0.999699 0.471398 1 0 6.4050
0.094852 10.098464 7.398597 0.024531 -0.000652 -0.999699 0.469023 1 0 6.3051
0.094154 9.960175 7.400710 0.024531 -0.000618 -0.999699 0.465777 1 0 6.2604
0.093460 9.822673 7.399500 0.024531 -0.000618 -0.999699 0.484396 1 0 6.2190
0.092777 9.687368 7.399689 0.024531 -0.000618 -0.999699 0.477326 1 0 6.1809
0.092101 9.553489 7.399261 0.024531 -0.000618 -0.999699 0.474381 1 0 6.1459
0.091432 9.420814 7.397713 0.024532 -0.000583 -0.999699 0.481459 1 0 6.1139
0.090772 9.290017 7.398460 0.024532 -0.000583 -0.999699 0.501813 1 0 6.0850
0.090116 9.160248 7.398584 0.024532 -0.000583 -0.999699 0.518011 1 0 6.0589
0.089469 9.032034 7.401653 0.024532 -0.000583 -0.999699 0.496898 1 0 6.0357
0.088822 8.903818 7.399445 0.024533 -0.000550 -0.999699 0.481991 1 0 6.0153
0.031197 11.343510 -0.399153 0.007001 -0.000188 0.999976 0.389443 1 0 3.8183
0.018740 12.127097 -0.401065 0.007001 -0.000204 0.999976 0.422917 1 0 4.5153
