# x y z nx ny nz intensity label station_id range_m
2.431623 7.979623 -0.257927 -0.105178 0.000000 0.994453 0.433769 1 0 2.9766
2.475642 7.979181 -0.138156 -1.000000 0.000000 0.000000 0.547368 6 0 2.9451
2.516016 7.978778 -0.090522 0.000000 0.000000 1.000000 0.478296 6 0 2.9539
2.639597 7.977540 -0.090851 0.000000 0.000000 1.000000 0.483746 6 0 3.0595
2.770597 7.976232 -0.090170 0.000000 0.000000 1.000000 0.468587 6 0 3.1744
3.083749 7.973101 -0.180121 -0.127977 0.000000 0.991777 0.392611 1 0 3.4945
3.216394 7.971775 -0.164736 -0.127977 0.000000 0.991777 0.408312 1 0 3.6025
2.823532 7.975700 0.105372 -1.000000 0.000000 0.000000 0.486704 4 0 3.1341
2.824769 7.975688 0.176738 -1.000000 0.000000 0.000000 0.498401 4 0 3.1039
2.825055 7.975685 0.247228 -1.000000 0.000000 0.000000 0.464373 4 0 3.0756
2.826699 7.975668 0.315945 -1.000000 0.000000 0.000000 0.466639 4 0 3.0492
2.986086 7.974076 0.324292 0.000000 0.000000 1.000000 0.335844 4 0 3.1946
3.414051 7.969795 0.324488 0.000000 0.000000 1.000000 0.306532 4 0 3.5987
3.668422 7.967254 0.325560 0.000000 0.000000 1.000000 0.352602 4 0 3.8444
3.964925 7.964285 0.325285 0.000000 0.000000 1.000000 0.355093 4 0 4.1281
4.398879 7.959949 0.301558 -1.000000 0.000000 0.000000 0.513440 1 0 4.5532
4.398845 7.959949 0.399565 -1.000000 0.000000 0.000000 0.512107 1 0 4.5295
4.401615 7.959922 0.495992 -1.000000 0.000000 0.000000 0.488750 1 0 4.5080
4.400601 7.959932 0.592401 -1.000000 0.000000 0.000000 0.470303 1 0 4.4887
4.402388 7.959914 0.687501 -1.000000 0.000000 0.000000 0.538789 1 0 4.4715
4.397647 7.959961 0.782978 -1.000000 0.000000 0.000000 0.456067 1 0 4.4563
4.396904 7.959969 0.877134 -1.000000 0.000000 0.000000 0.477121 1 0 4.4432
4.402333 7.959915 0.970078 -1.000000 0.000000 0.000000 0.482869 1 0 4.4321
4.397211 7.959966 1.063750 -1.000000 0.000000 0.000000 0.477377 1 0 4.4231
4.396730 7.959971 1.156556 -1.000000 0.000000 0.000000 0.512087 1 0 4.4159
4.399855 7.959939 1.248921 -1.000000 0.000000 0.000000 0.505908 1 0 4.4108
4.400745 7.959930 1.341296 -1.000000 0.000000 0.000000 0.482116 1 0 4.4075
4.400790 7.959930 1.433617 -1.000000 0.000000 0.000000 0.470617 1 0 4.4062
4.399891 7.959939 1.525909 -1.000000 0.000000 0.000000 0.503936 1 0 4.4069
4.399846 7.959939 1.618264 -1.000000 0.000000 0.000000 0.488895 1 0 4.4095
4.402905 7.959909 1.710950 -1.000000 0.000000 0.000000 0.508869 1 0 4.4140
4.401213 7.959926 1.803614 -1.000000 0.000000 0.000000 0.489492 1 0 4.4205
4.399460 7.959943 1.896513 -1.000000 0.000000 0.000000 0.495338 1 0 4.4289
4.401390 7.959924 1.990186 -1.000000 0.000000 0.000000 0.476490 1 0 4.4393
4.400455 7.959933 2.084012 -1.000000 0.000000 0.000000 0.475289 1 0 4.4517
4.400669 7.959931 2.178556 -1.000000 0.000000 0.000000 0.492634 1 0 4.4662
4.399571 7.959942 2.273522 -1.000000 0.000000 0.000000 0.492979 1 0 4.4827
3.916983 7.964768 2.268595 -0.608761 0.000000 -0.793353 0.538725 6 0 4.0041
3.870343 7.965231 2.343969 -0.991445 0.000000 -0.130526 0.597610 6 0 3.9780
4.397912 7.959959 2.563417 -1.000000 0.000000 0.000000 0.480847 1 0 4.5451
4.403850 7.959899 2.663736 -1.000000 0.000000 0.000000 0.494985 1 0 4.5703
