# x y z nx ny nz intensity label station_id range_m
2.445104 8.011647 -0.258310 -0.105178 0.000000 0.994453 0.418544 1 0 2.9780
3.228229 8.016346 -0.163603 -0.127977 0.000000 0.991777 0.428495 1 0 3.6037
4.400163 8.023377 0.305865 -1.000000 0.000000 0.000000 0.473270 1 0 4.5428
4.400987 8.023382 0.403471 -1.000000 0.000000 0.000000 0.477703 1 0 4.5191
4.398416 8.023367 0.500877 -1.000000 0.000000 0.000000 0.514986 1 0 4.4977
4.399481 8.023374 0.596590 -1.000000 0.000000 0.000000 0.492226 1 0 4.4784
4.401465 8.023385 0.691412 -1.000000 0.000000 0.000000 0.482570 1 0 4.4612
4.399038 8.023371 0.786301 -1.000000 0.000000 0.000000 0.497730 1 0 4.4461
4.400172 8.023377 0.880027 -1.000000 0.000000 0.000000 0.466905 1 0 4.4330
4.400619 8.023380 0.973366 -1.000000 0.000000 0.000000 0.473245 1 0 4.4219
4.401354 8.023385 1.066274 -1.000000 0.000000 0.000000 0.473461 1 0 4.4129
4.401439 8.023385 1.158917 -1.000000 0.000000 0.000000 0.495371 1 0 4.4058
4.401131 8.023383 1.251324 -1.000000 0.000000 0.000000 0.512254 1 0 4.4006
4.398160 8.023365 1.343607 -1.000000 0.000000 0.000000 0.492723 1 0 4.3974
4.403091 8.023395 1.435644 -1.000000 0.000000 0.000000 0.519892 1 0 4.3961
4.400476 8.023379 1.527742 -1.000000 0.000000 0.000000 0.497971 1 0 4.3967
4.402361 8.023391 1.619971 -1.000000 0.000000 0.000000 0.500707 1 0 4.3993
4.401931 8.023388 1.712290 -1.000000 0.000000 0.000000 0.488763 1 0 4.4038
4.397851 8.023363 1.804527 -1.000000 0.000000 0.000000 0.487328 1 0 4.4103
4.401841 8.023388 1.897724 -1.000000 0.000000 0.000000 0.498079 1 0 4.4187
4.399371 8.023373 1.990693 -1.000000 0.000000 0.000000 0.501203 1 0 4.4291
4.397445 8.023361 2.084116 -1.000000 0.000000 0.000000 0.467728 1 0 4.4415
4.401558 8.023386 2.179024 -1.000000 0.000000 0.000000 0.493368 1 0 4.4559
4.399636 8.023375 2.273636 -1.000000 0.000000 0.000000 0.474725 1 0 4.4724
4.400093 8.023377 2.563402 -1.000000 0.000000 0.000000 0.477357 1 0 4.5346
4.397719 8.023363 2.661254 -1.000000 0.000000 0.000000 0.482995 1 0 4.5598
4.401682 8.023387 2.762029 -1.000000 0.000000 0.000000 0.444224 1 0 4.5873
4.400455 8.023379 2.862573 -1.000000 0.000000 0.000000 0.475929 1 0 4.6171
4.400085 8.023377 2.964721 -1.000000 0.000000 0.000000 0.479307 1 0 4.6494
4.381783 8.023268 3.381867 -0.997290 0.000000 -0.073565 0.455866 1 0 4.7855
4.370860 8.023202 3.487337 -0.992479 0.000000 -0.122412 0.484503 1 0 4.8195
4.356545 8.023116 3.592756 -0.992479 0.000000 -0.122412 0.471147 1 0 4.8535
4.344788 8.023046 3.701091 -0.985278 -0.000000 -0.170961 0.499346 1 0 4.8873
4.324766 8.022925 3.806800 -0.985278 -0.000000 -0.170961 0.464534 1 0 4.9210
4.303272 8.022797 3.913260 -0.975702 -0.000000 -0.219103 0.489129 1 0 4.9544
4.281060 8.022663 4.020963 -0.975702 -0.000000 -0.219103 0.486991 1 0 4.9877
4.254435 8.022503 4.127690 -0.963776 -0.000000 -0.266714 0.480563 1 0 5.0206
4.154335 8.021903 4.444370 -0.949528 -0.000000 -0.313684 0.481013 1 0 5.1182
4.116357 8.021674 4.549940 -0.932993 -0.000000 -0.359895 0.488145 1 0 5.1497
4.076457 8.021436 4.655765 -0.932993 -0.000000 -0.359895 0.442599 1 0 5.1817
4.030534 8.021159 4.758492 -0.914208 -0.000001 -0.405244 0.487855 1 0 5.2122
3.985778 8.020891 4.863858 -0.914208 -0.000001 -0.405244 0.487916 1 0 5.2438
3.934733 8.020584 4.965544 -0.893223 -0.000001 -0.449613 0.486556 1 0 5.2732
