# x y z nx ny nz intensity label
-1.37421 -11.19861 8.61981 -0.818430 0.000000 0.574606 0.793561 1
-1.37940 -11.18831 8.60067 -0.819462 0.000000 0.573134 0.792706 1
-1.36463 -11.30277 8.64369 -0.817042 0.000000 0.576578 0.794644 1
-1.38534 -11.24203 8.58741 -0.820249 0.000000 0.572007 0.792126 1
-1.37529 -11.28624 8.60875 -0.818965 0.000000 0.573843 0.793103 1
-1.37063 -11.30255 8.61045 -0.818740 0.000000 0.574164 0.793164 1
-1.40003 -11.19811 8.53336 -0.823152 0.000000 0.567821 0.789670 1
-1.37750 -11.30122 8.59892 -0.819481 0.000000 0.573107 0.792599 1
-1.36627 -11.33433 8.61172 -0.818544 0.000000 0.574443 0.793240 1
-1.39097 -11.29113 8.58090 -0.820721 0.000000 0.571330 0.791821 1
-1.37477 -11.33631 8.60144 -0.819280 0.000000 0.573393 0.792767 1
-1.39866 -11.25450 8.54276 -0.822685 0.000000 0.568497 0.790097 1
-1.36937 -11.35415 8.60429 -0.818979 0.000000 0.573823 0.792920 1
-1.35633 -11.42645 8.64646 -0.816650 0.000000 0.577133 0.794812 1
-1.39289 -11.31852 8.56842 -0.821345 0.000000 0.570431 0.791257 1
-1.37728 -11.37013 8.59350 -0.819719 0.000000 0.572766 0.792401 1
-1.35677 -11.44144 8.63538 -0.817168 0.000000 0.576400 0.794339 1
-1.39167 -11.31695 8.54397 -0.822412 0.000000 0.568893 0.790219 1
-1.37758 -11.37481 8.57776 -0.820441 0.000000 0.571731 0.791638 1
-1.35572 -11.48053 8.64357 -0.816762 0.000000 0.576975 0.794629 1
-1.39776 -11.36047 8.55393 -0.822153 0.000000 0.569267 0.790646 1
-1.35489 -11.48566 8.63599 -0.817079 0.000000 0.576525 0.794324 1
-1.37755 -11.42432 8.59227 -0.819783 0.000000 0.572674 0.792309 1
-1.35165 -11.51633 8.64647 -0.816500 0.000000 0.577346 0.794827 1
-1.37131 -11.44548 8.59586 -0.819423 0.000000 0.573189 0.792508 1
-1.40284 -11.22288 8.43219 -0.827804 0.000000 0.561018 0.785061 1
-1.36601 -11.47073 8.60330 -0.818918 0.000000 0.573911 0.792874 1
-1.38537 -11.40360 8.55487 -0.821722 0.000000 0.569889 0.790570 1
-1.35183 -11.52538 8.63146 -0.817187 0.000000 0.576372 0.794156 1
-1.36942 -11.48024 8.59971 -0.819189 0.000000 0.573524 0.792691 1
-1.39167 -11.31658 8.47940 -0.825329 0.000000 0.564652 0.787213 1
