# x y z nx ny nz intensity label
3.00000 0.00000 0.00000 1.000000 0.000000 0.000000 0.499992 1
2.99939 0.00000 0.07363 0.999699 0.000000 0.024541 0.505257 1
2.99697 0.00000 0.14723 0.998795 0.000000 0.049068 0.510246 1
2.99272 0.00000 0.22076 0.997290 0.000000 0.073565 0.514961 1
2.98666 0.00000 0.29416 0.995185 0.000000 0.098017 0.519402 1
2.97877 0.00000 0.36740 0.992480 0.000000 0.122411 0.523568 1
2.96906 0.00000 0.44042 0.989177 0.000000 0.146730 0.527474 1
2.95752 0.00000 0.51318 0.985278 0.000000 0.170962 0.531106 1
2.94417 0.00000 0.58563 0.980785 0.000000 0.195090 0.534493 1
2.92900 0.00000 0.65773 0.975702 0.000000 0.219101 0.537606 1
2.91202 0.00000 0.72942 0.970031 0.000000 0.242980 0.540490 1
2.89325 0.00000 0.80067 0.963776 0.000000 0.266713 0.543145 1
2.87270 0.00000 0.87142 0.956940 0.000000 0.290285 0.545571 1
2.85037 0.00000 0.94164 0.949528 0.000000 0.313682 0.547799 1
2.82629 0.00000 1.01126 0.941544 0.000000 0.336890 0.549813 1
2.80048 0.00000 1.08026 0.932993 0.000000 0.359895 0.551644 1
2.77295 0.00000 1.14859 0.923880 0.000000 0.382683 0.553323 1
2.74372 0.00000 1.21621 0.914210 0.000000 0.405241 0.554833 1
2.71282 0.00000 1.28307 0.903989 0.000000 0.427555 0.556207 1
2.68027 0.00000 1.34914 0.893224 0.000000 0.449611 0.557458 1
2.64611 0.00000 1.41437 0.881921 0.000000 0.471397 0.558602 1
2.61035 0.00000 1.47874 0.870087 0.000000 0.492898 0.559655 1
2.57302 0.00000 1.54221 0.857729 0.000000 0.514103 0.560647 1
2.53415 0.00000 1.60473 0.844854 0.000000 0.534998 0.561578 1
2.49377 0.00000 1.66629 0.831470 0.000000 0.555570 0.562463 1
2.45191 0.00000 1.72683 0.817585 0.000000 0.575808 0.563333 1
2.40860 0.00000 1.78634 0.803208 0.000000 0.595699 0.564202 1
2.36387 0.00000 1.84478 0.788346 0.000000 0.615232 0.565087 1
2.31775 0.00000 1.90212 0.773010 0.000000 0.634393 0.565988 1
2.27026 0.00000 1.95834 0.757209 0.000000 0.653173 0.566934 1
2.22144 0.00000 2.01339 0.740951 0.000000 0.671559 0.567956 1
2.17131 0.00000 2.06726 0.724247 0.000000 0.689541 0.569039 1
2.11991 0.00000 2.11991 0.707107 0.000000 0.707107 0.570199 1
2.06726 0.00000 2.17131 0.689541 0.000000 0.724247 0.571466 1
2.01339 0.00000 2.22144 0.671559 0.000000 0.740951 0.572839 1
1.95834 0.00000 2.27026 0.653173 0.000000 0.757209 0.574334 1
1.90212 0.00000 2.31775 0.634393 0.000000 0.773010 0.575952 1
1.84478 0.00000 2.36387 0.615232 0.000000 0.788346 0.577722 1
1.78634 0.00000 2.40860 0.595699 0.000000 0.803208 0.579614 1
1.72683 0.00000 2.45191 0.575808 0.000000 0.817585 0.581674 1
1.66629 0.00000 2.49377 0.555570 0.000000 0.831470 0.583871 1
1.60473 0.00000 2.53415 0.534998 0.000000 0.844854 0.586236 1
1.54221 0.00000 2.57302 0.514103 0.000000 0.857729 0.588754 1
1.47874 0.00000 2.61035 0.492898 0.000000 0.870087 0.591424 1
1.41437 0.00000 2.64611 0.471397 0.000000 0.881921 0.594263 1
1.34914 0.00000 2.68027 0.449611 0.000000 0.893224 0.597238 1
1.28307 0.00000 2.71282 0.427555 0.000000 0.903989 0.600366 1
1.21621 0.00000 2.74372 0.405241 0.000000 0.914210 0.603647 1
1.14859 0.00000 2.77295 0.382683 0.000000 0.923880 0.607050 1
1.08026 0.00000 2.80048 0.359895 0.000000 0.932993 0.610590 1
1.01126 0.00000 2.82629 0.336890 0.000000 0.941544 0.614252 1
0.94164 0.00000 2.85037 0.313682 0.000000 0.949528 0.618006 1
0.87142 0.00000 2.87270 0.290285 0.000000 0.956940 0.621866 1
0.80067 0.00000 2.89325 0.266713 0.000000 0.963776 0.625818 1
0.72942 0.00000 2.91202 0.242980 0.000000 0.970031 0.629816 1
0.65773 0.00000 2.92900 0.219101 0.000000 0.975702 0.633890 1
0.58563 0.00000 2.94417 0.195090 0.000000 0.980785 0.637980 1
0.51318 0.00000 2.95752 0.170962 0.000000 0.985278 0.642115 1
0.44042 0.00000 2.96906 0.146730 0.000000 0.989177 0.646235 1
0.36740 0.00000 2.97877 0.122411 0.000000 0.992480 0.650340 1
0.29416 0.00000 2.98666 0.098017 0.000000 0.995185 0.654414 1
0.22076 0.00000 2.99272 0.073565 0.000000 0.997290 0.658442 1
0.14723 0.00000 2.99697 0.049068 0.000000 0.998795 0.662394 1
0.07363 0.00000 2.99939 0.024541 0.000000 0.999699 0.666255 1
0.00000 0.00000 3.00000 0.000000 0.000000 1.000000 0.669993 1
-0.07362 0.00000 2.99880 -0.024541 0.000000 0.999699 0.673610 1
-0.14717 0.00000 2.99581 -0.049068 0.000000 0.998795 0.677058 1
-0.22063 0.00000 2.99102 -0.073565 0.000000 0.997290 0.680354 1
-0.29394 0.00000 2.98445 -0.098017 0.000000 0.995185 0.683452 1
-0.36707 0.00000 2.97611 -0.122411 0.000000 0.992480 0.686336 1
-0.43996 0.00000 2.96600 -0.146730 0.000000 0.989177 0.688991 1
-0.51259 0.00000 2.95414 -0.170962 0.000000 0.985278 0.691402 1
-0.58491 0.00000 2.94054 -0.195090 0.000000 0.980785 0.693538 1
-0.65688 0.00000 2.92521 -0.219101 0.000000 0.975702 0.695415 1
-0.72846 0.00000 2.90816 -0.242980 0.000000 0.970031 0.696971 1
