# x y z nx ny nz intensity label
2.9985 -0.0004 -0.0148 0.0000 0.0000 0.0000 0.1200 1
2.9946 -0.0025 0.1921 0.0000 0.0000 0.0000 0.1200 1
2.9706 -0.0016 0.3932 0.0000 0.0000 0.0000 0.1200 1
2.9398 -0.0021 0.5922 0.0000 0.0000 0.0000 0.1200 1
2.8972 0.0018 0.7815 0.0000 0.0000 0.0000 0.1200 1
2.8364 -0.0020 0.9724 0.0000 0.0000 0.0000 0.1200 1
2.7690 -0.0013 1.1485 0.0000 0.0000 0.0000 0.1200 1
2.6956 -0.0009 1.3182 0.0000 0.0000 0.0000 0.1200 1
2.5995 0.0006 1.4973 0.0000 0.0000 0.0000 0.1200 1
2.4937 0.0001 1.6669 0.0000 0.0000 0.0000 0.1200 1
2.3692 0.0013 1.8354 0.0000 0.0000 0.0000 0.1200 1
2.2552 -0.0005 1.9828 0.0000 0.0000 0.0000 0.1200 1
2.1152 0.0011 2.1272 0.0000 0.0000 0.0000 0.1200 1
1.9797 0.0011 2.2528 0.0000 0.0000 0.0000 0.1200 1
1.8374 0.0002 2.3685 0.0000 0.0000 0.0000 0.1200 1
1.6695 -0.0006 2.4929 0.0000 0.0000 0.0000 0.1200 1
1.5086 0.0001 2.5948 0.0000 0.0000 0.0000 0.1200 1
1.3229 0.0001 2.6935 0.0000 0.0000 0.0000 0.1200 1
1.1540 0.0001 2.7668 0.0000 0.0000 0.0000 0.1200 1
0.9797 0.0005 2.8354 0.0000 0.0000 0.0000 0.1200 1
0.7807 -0.0006 2.8959 0.0000 0.0000 0.0000 0.1200 1
0.5981 0.0018 2.9377 0.0000 0.0000 0.0000 0.1200 1
0.3876 0.0005 2.9762 0.0000 0.0000 0.0000 0.1200 1
0.1907 0.0000 2.9922 0.0000 0.0000 0.0000 0.1200 1
0.0130 -0.0003 2.9994 0.0000 0.0000 0.0000 0.1200 1
-0.2090 -0.0010 2.9940 0.0000 0.0000 0.0000 0.1200 1
-0.3898 -0.0004 2.9756 0.0000 0.0000 0.0000 0.1200 1
-0.5872 -0.0000 2.9380 0.0000 0.0000 0.0000 0.1200 1
-0.7544 -0.0003 2.9044 0.0000 0.0000 0.0000 0.1200 1
-0.9644 0.0005 2.8436 0.0000 0.0000 0.0000 0.1200 1
-1.1528 -0.0033 2.7759 0.0000 0.0000 0.0000 0.1200 1
-1.3241 0.0002 2.6909 0.0000 0.0000 0.0000 0.1200 1
-1.5056 -0.0016 2.5980 0.0000 0.0000 0.0000 0.1200 1
-1.6680 0.0002 2.4941 0.0000 0.0000 0.0000 0.1200 1
-1.8233 -0.0004 2.3793 0.0000 0.0000 0.0000 0.1200 1
-1.9758 0.0013 2.2611 0.0000 0.0000 0.0000 0.1200 1
-2.1344 -0.0019 2.1047 0.0000 0.0000 0.0000 0.1200 1
-2.2638 -0.0006 1.9712 0.0000 0.0000 0.0000 0.1200 1
-2.3749 0.0012 1.8340 0.0000 0.0000 0.0000 0.1200 1
-2.4930 0.0003 1.6747 0.0000 0.0000 0.0000 0.1200 1
-2.6082 0.0012 1.4779 0.0000 0.0000 0.0000 0.1200 1
-2.6959 -0.0009 1.3191 0.0000 0.0000 0.0000 0.1200 1
-2.7782 0.0016 1.1357 0.0000 0.0000 0.0000 0.1200 1
-2.8504 0.0001 0.9531 0.0000 0.0000 0.0000 0.1200 1
-2.8972 0.0006 0.7801 0.0000 0.0000 0.0000 0.1200 1
-2.9419 0.0015 0.5879 0.0000 0.0000 0.0000 0.1200 1
-2.9716 0.0010 0.4077 0.0000 0.0000 0.0000 0.1200 1
-2.9917 -0.0001 0.2045 0.0000 0.0000 0.0000 0.1200 1
-2.9993 -0.0004 0.0006 0.0000 0.0000 0.0000 0.1200 1
-2.9950 0.0006 -0.1951 0.0000 0.0000 0.0000 0.1200 1
-2.9736 0.0000 -0.3811 0.0000 0.0000 0.0000 0.1200 1
-2.9426 0.0005 -0.5793 0.0000 0.0000 0.0000 0.1200 1
-2.9042 0.0005 -0.7644 0.0000 0.0000 0.0000 0.1200 1
-2.8412 -0.0006 -0.9600 0.0000 0.0000 0.0000 0.1200 1
-2.7826 0.0008 -1.1366 0.0000 0.0000 0.0000 0.1200 1
-2.6880 -0.0021 -1.3390 0.0000 0.0000 0.0000 0.1200 1
-2.5843 0.0005 -1.5247 0.0000 0.0000 0.0000 0.1200 1
-2.4955 -0.0004 -1.6663 0.0000 0.0000 0.0000 0.1200 1
-2.3712 -0.0003 -1.8362 0.0000 0.0000 0.0000 0.1200 1
-2.2571 0.0018 -1.9778 0.0000 0.0000 0.0000 0.1200 1
-2.1191 -0.0000 -2.1251 0.0000 0.0000 0.0000 0.1200 1
-1.9687 -0.0004 -2.2690 0.0000 0.0000 0.0000 0.1200 1
-1.8198 0.0004 -2.3863 0.0000 0.0000 0.0000 0.1200 1
-1.6762 0.0012 -2.4905 0.0000 0.0000 0.0000 0.1200 1
-1.4974 0.0005 -2.6024 0.0000 0.0000 0.0000 0.1200 1
-1.3275 -0.0005 -2.6913 0.0000 0.0000 0.0000 0.1200 1
-1.1598 0.0001 -2.7656 0.0000 0.0000 0.0000 0.1200 1
-0.9591 0.0005 -2.8452 0.0000 0.0000 0.0000 0.1200 1
-0.7836 -0.0004 -2.8968 0.0000 0.0000 0.0000 0.1200 1
-0.5948 0.0003 -2.9401 0.0000 0.0000 0.0000 0.1200 1
-0.4107 -0.0011 -2.9744 0.0000 0.0000 0.0000 0.1200 1
-0.1981 -0.0021 -2.9900 0.0000 0.0000 0.0000 0.1200 1
-0.0068 -0.0024 -2.9999 0.0000 0.0000 0.0000 0.1200 1
0.2025 -0.0009 -2.9916 0.0000 0.0000 0.0000 0.1200 1
0.3908 0.0007 -2.9780 0.0000 0.0000 0.0000 0.1200 1
0.5773 -0.0012 -2.9462 0.0000 0.0000 0.0000 0.1200 1
0.7753 -0.0011 -2.8975 0.0000 0.0000 0.0000 0.1200 1
0.9542 -0.0017 -2.8448 0.0000 0.0000 0.0000 0.1200 1
1.1454 -0.0005 -2.7746 0.0000 0.0000 0.0000 0.1200 1
1.3317 -0.0008 -2.6872 0.0000 0.0000 0.0000 0.1200 1
1.5038 -0.0010 -2.5951 0.0000 0.0000 0.0000 0.1200 1
1.6623 -0.0004 -2.4957 0.0000 0.0000 0.0000 0.1200 1
1.8245 0.0025 -2.3837 0.0000 0.0000 0.0000 0.1200 1
1.9892 0.0007 -2.2433 0.0000 0.0000 0.0000 0.1200 1
2.1331 0.0001 -2.1112 0.0000 0.0000 0.0000 0.1200 1
2.2527 -0.0014 -1.9794 0.0000 0.0000 0.0000 0.1200 1
2.3844 0.0003 -1.8240 0.0000 0.0000 0.0000 0.1200 1
2.4948 -0.0008 -1.6729 0.0000 0.0000 0.0000 0.1200 1
2.5925 -0.0008 -1.5092 0.0000 0.0000 0.0000 0.1200 1
2.6869 -0.0004 -1.3356 0.0000 0.0000 0.0000 0.1200 1
2.7731 -0.0013 -1.1443 0.0000 0.0000 0.0000 0.1200 1
2.8382 0.0004 -0.9639 0.0000 0.0000 0.0000 0.1200 1
2.9008 0.0000 -0.7687 0.0000 0.0000 0.0000 0.1200 1
2.9434 0.0007 -0.5637 0.0000 0.0000 0.0000 0.1200 1
2.9741 -0.0006 -0.3929 0.0000 0.0000 0.0000 0.1200 1
2.9949 0.0002 -0.1896 0.0000 0.0000 0.0000 0.1200 1
3.0035 0.5002 0.0022 0.0000 0.0000 0.0000 0.1200 1
2.9998 0.5000 0.2081 0.0000 0.0000 0.0000 0.1200 1
2.9764 0.4984 0.4053 0.0000 0.0000 0.0000 0.1200 1
2.9442 0.5012 0.5878 0.0000 0.0000 0.0000 0.1200 1
2.9033 0.4990 0.7697 0.0000 0.0000 0.0000 0.1200 1
2.8404 0.4990 0.9705 0.0000 0.0000 0.0000 0.1200 1
2.7742 0.4990 1.1433 0.0000 0.0000 0.0000 0.1200 1
2.6884 0.5007 1.3368 0.0000 0.0000 0.0000 0.1200 1
2.5982 0.5006 1.5030 0.0000 0.0000 0.0000 0.1200 1
2.4864 0.4993 1.6819 0.0000 0.0000 0.0000 0.1200 1
2.3910 0.4998 1.8178 0.0000 0.0000 0.0000 0.1200 1
2.2663 0.5005 1.9706 0.0000 0.0000 0.0000 0.1200 1
2.1147 0.5004 2.1274 0.0000 0.0000 0.0000 0.1200 1
1.9777 0.4986 2.2609 0.0000 0.0000 0.0000 0.1200 1
1.8338 0.5002 2.3773 0.0000 0.0000 0.0000 0.1200 1
1.6764 0.5008 2.4919 0.0000 0.0000 0.0000 0.1200 1
1.4897 0.5003 2.6054 0.0000 0.0000 0.0000 0.1200 1
1.3293 0.4996 2.6917 0.0000 0.0000 0.0000 0.1200 1
1.1498 0.4994 2.7738 0.0000 0.0000 0.0000 0.1200 1
0.9721 0.4986 2.8391 0.0000 0.0000 0.0000 0.1200 1
0.7902 0.5014 2.8964 0.0000 0.0000 0.0000 0.1200 1
0.5945 0.4996 2.9408 0.0000 0.0000 0.0000 0.1200 1
0.3952 0.5000 2.9765 0.0000 0.0000 0.0000 0.1200 1
0.1912 0.5010 2.9919 0.0000 0.0000 0.0000 0.1200 1
-0.0021 0.4998 2.9946 0.0000 0.0000 0.0000 0.1200 1
-0.2035 0.5013 2.9946 0.0000 0.0000 0.0000 0.1200 1
-0.3958 0.5011 2.9737 0.0000 0.0000 0.0000 0.1200 1
-0.5789 0.5012 2.9429 0.0000 0.0000 0.0000 0.1200 1
-0.7624 0.4992 2.9023 0.0000 0.0000 0.0000 0.1200 1
-0.9611 0.5008 2.8372 0.0000 0.0000 0.0000 0.1200 1
-1.1295 0.5008 2.7766 0.0000 0.0000 0.0000 0.1200 1
-1.3192 0.4994 2.6917 0.0000 0.0000 0.0000 0.1200 1
-1.4986 0.5006 2.5990 0.0000 0.0000 0.0000 0.1200 1
-1.6504 0.4985 2.5002 0.0000 0.0000 0.0000 0.1200 1
-1.8375 0.4984 2.3720 0.0000 0.0000 0.0000 0.1200 1
-1.9786 0.4994 2.2492 0.0000 0.0000 0.0000 0.1200 1
-2.1273 0.5019 2.1136 0.0000 0.0000 0.0000 0.1200 1
-2.2486 0.5002 1.9824 0.0000 0.0000 0.0000 0.1200 1
-2.3839 0.4989 1.8184 0.0000 0.0000 0.0000 0.1200 1
-2.5045 0.5020 1.6519 0.0000 0.0000 0.0000 0.1200 1
-2.5929 0.5003 1.5070 0.0000 0.0000 0.0000 0.1200 1
-2.6815 0.5033 1.3358 0.0000 0.0000 0.0000 0.1200 1
-2.7579 0.4998 1.1781 0.0000 0.0000 0.0000 0.1200 1
-2.8363 0.4985 0.9628 0.0000 0.0000 0.0000 0.1200 1
-2.8980 0.5006 0.7602 0.0000 0.0000 0.0000 0.1200 1
-2.9411 0.4997 0.5757 0.0000 0.0000 0.0000 0.1200 1
-2.9718 0.5008 0.3926 0.0000 0.0000 0.0000 0.1200 1
-2.9907 0.5008 0.2091 0.0000 0.0000 0.0000 0.1200 1
-3.0002 0.5014 0.0132 0.0000 0.0000 0.0000 0.1200 1
-2.9910 0.5012 -0.1929 0.0000 0.0000 0.0000 0.1200 1
-2.9731 0.5000 -0.3805 0.0000 0.0000 0.0000 0.1200 1
-2.9403 0.5007 -0.5573 0.0000 0.0000 0.0000 0.1200 1
-2.8937 0.4998 -0.7733 0.0000 0.0000 0.0000 0.1200 1
-2.8381 0.4981 -0.9646 0.0000 0.0000 0.0000 0.1200 1
-2.7682 0.5018 -1.1522 0.0000 0.0000 0.0000 0.1200 1
-2.6875 0.5008 -1.3182 0.0000 0.0000 0.0000 0.1200 1
-2.5970 0.4977 -1.4921 0.0000 0.0000 0.0000 0.1200 1
-2.4879 0.5008 -1.6691 0.0000 0.0000 0.0000 0.1200 1
-2.3743 0.5002 -1.8278 0.0000 0.0000 0.0000 0.1200 1
-2.2554 0.5008 -1.9757 0.0000 0.0000 0.0000 0.1200 1
-2.1181 0.5000 -2.1120 0.0000 0.0000 0.0000 0.1200 1
-1.9709 0.5007 -2.2534 0.0000 0.0000 0.0000 0.1200 1
-1.8280 0.5003 -2.3735 0.0000 0.0000 0.0000 0.1200 1
-1.6617 0.4995 -2.4935 0.0000 0.0000 0.0000 0.1200 1
-1.4981 0.4985 -2.5919 0.0000 0.0000 0.0000 0.1200 1
-1.3205 0.4999 -2.6974 0.0000 0.0000 0.0000 0.1200 1
-1.1553 0.5022 -2.7670 0.0000 0.0000 0.0000 0.1200 1
-0.9539 0.4995 -2.8406 0.0000 0.0000 0.0000 0.1200 1
-0.7650 0.4995 -2.8969 0.0000 0.0000 0.0000 0.1200 1
-0.5706 0.4998 -2.9423 0.0000 0.0000 0.0000 0.1200 1
-0.3908 0.4999 -2.9702 0.0000 0.0000 0.0000 0.1200 1
-0.1925 0.4994 -2.9961 0.0000 0.0000 0.0000 0.1200 1
-0.0007 0.4999 -2.9983 0.0000 0.0000 0.0000 0.1200 1
0.2095 0.5005 -2.9897 0.0000 0.0000 0.0000 0.1200 1
0.3912 0.5008 -2.9729 0.0000 0.0000 0.0000 0.1200 1
0.6099 0.5017 -2.9362 0.0000 0.0000 0.0000 0.1200 1
0.7872 0.5019 -2.8944 0.0000 0.0000 0.0000 0.1200 1
0.9606 0.4994 -2.8426 0.0000 0.0000 0.0000 0.1200 1
1.1550 0.4998 -2.7687 0.0000 0.0000 0.0000 0.1200 1
1.3377 0.5012 -2.6837 0.0000 0.0000 0.0000 0.1200 1
1.5159 0.4985 -2.5905 0.0000 0.0000 0.0000 0.1200 1
1.6858 0.5011 -2.4856 0.0000 0.0000 0.0000 0.1200 1
1.8283 0.4987 -2.3800 0.0000 0.0000 0.0000 0.1200 1
1.9750 0.5007 -2.2589 0.0000 0.0000 0.0000 0.1200 1
2.1299 0.5009 -2.1181 0.0000 0.0000 0.0000 0.1200 1
2.2592 0.4995 -1.9764 0.0000 0.0000 0.0000 0.1200 1
2.3860 0.5013 -1.8270 0.0000 0.0000 0.0000 0.1200 1
2.4922 0.5000 -1.6697 0.0000 0.0000 0.0000 0.1200 1
2.6085 0.4992 -1.4956 0.0000 0.0000 0.0000 0.1200 1
2.6920 0.4998 -1.3245 0.0000 0.0000 0.0000 0.1200 1
2.7752 0.5013 -1.1464 0.0000 0.0000 0.0000 0.1200 1
2.8429 0.4999 -0.9667 0.0000 0.0000 0.0000 0.1200 1
2.8999 0.5017 -0.7754 0.0000 0.0000 0.0000 0.1200 1
2.9445 0.5007 -0.5899 0.0000 0.0000 0.0000 0.1200 1
2.9780 0.5013 -0.3887 0.0000 0.0000 0.0000 0.1200 1
2.9963 0.5014 -0.2005 0.0000 0.0000 0.0000 0.1200 1
3.0064 0.9996 -0.0020 0.0000 0.0000 0.0000 0.1200 1
2.9976 1.0006 0.2017 0.0000 0.0000 0.0000 0.1200 1
2.9803 1.0002 0.3997 0.0000 0.0000 0.0000 0.1200 1
2.9509 1.0002 0.5818 0.0000 0.0000 0.0000 0.1200 1
2.9038 0.9991 0.7737 0.0000 0.0000 0.0000 0.1200 1
2.8424 0.9994 0.9816 0.0000 0.0000 0.0000 0.1200 1
2.7712 0.9994 1.1563 0.0000 0.0000 0.0000 0.1200 1
2.6990 1.0002 1.3185 0.0000 0.0000 0.0000 0.1200 1
2.6013 1.0004 1.5060 0.0000 0.0000 0.0000 0.1200 1
2.5076 0.9984 1.6566 0.0000 0.0000 0.0000 0.1200 1
2.3788 0.9991 1.8393 0.0000 0.0000 0.0000 0.1200 1
2.2604 1.0009 1.9759 0.0000 0.0000 0.0000 0.1200 1
2.1259 0.9991 2.1235 0.0000 0.0000 0.0000 0.1200 1
1.9808 1.0003 2.2599 0.0000 0.0000 0.0000 0.1200 1
1.8363 1.0011 2.3792 0.0000 0.0000 0.0000 0.1200 1
1.6492 0.9997 2.5124 0.0000 0.0000 0.0000 0.1200 1
1.5043 1.0002 2.5962 0.0000 0.0000 0.0000 0.1200 1
1.3136 0.9992 2.7038 0.0000 0.0000 0.0000 0.1200 1
1.1683 1.0003 2.7661 0.0000 0.0000 0.0000 0.1200 1
0.9581 0.9993 2.8471 0.0000 0.0000 0.0000 0.1200 1
0.7743 0.9994 2.9068 0.0000 0.0000 0.0000 0.1200 1
0.5929 1.0006 2.9378 0.0000 0.0000 0.0000 0.1200 1
0.3958 1.0006 2.9753 0.0000 0.0000 0.0000 0.1200 1
0.2153 0.9994 2.9947 0.0000 0.0000 0.0000 0.1200 1
0.0117 1.0003 3.0005 0.0000 0.0000 0.0000 0.1200 1
-0.1812 0.9999 2.9960 0.0000 0.0000 0.0000 0.1200 1
-0.3821 1.0004 2.9772 0.0000 0.0000 0.0000 0.1200 1
-0.5719 0.9995 2.9445 0.0000 0.0000 0.0000 0.1200 1
-0.7580 1.0008 2.9028 0.0000 0.0000 0.0000 0.1200 1
-0.9534 1.0003 2.8443 0.0000 0.0000 0.0000 0.1200 1
-1.1550 1.0009 2.7669 0.0000 0.0000 0.0000 0.1200 1
-1.3247 1.0000 2.6934 0.0000 0.0000 0.0000 0.1200 1
-1.4957 1.0013 2.5997 0.0000 0.0000 0.0000 0.1200 1
-1.6647 0.9990 2.4930 0.0000 0.0000 0.0000 0.1200 1
-1.8236 1.0010 2.3796 0.0000 0.0000 0.0000 0.1200 1
-1.9701 1.0004 2.2613 0.0000 0.0000 0.0000 0.1200 1
-2.1235 1.0002 2.1169 0.0000 0.0000 0.0000 0.1200 1
-2.2509 0.9999 1.9801 0.0000 0.0000 0.0000 0.1200 1
-2.3803 1.0005 1.8180 0.0000 0.0000 0.0000 0.1200 1
-2.4965 0.9977 1.6569 0.0000 0.0000 0.0000 0.1200 1
-2.6027 0.9998 1.4856 0.0000 0.0000 0.0000 0.1200 1
-2.6880 1.0005 1.3138 0.0000 0.0000 0.0000 0.1200 1
-2.7711 1.0000 1.1395 0.0000 0.0000 0.0000 0.1200 1
-2.8356 1.0004 0.9715 0.0000 0.0000 0.0000 0.1200 1
-2.8889 0.9989 0.7784 0.0000 0.0000 0.0000 0.1200 1
-2.9395 0.9999 0.5738 0.0000 0.0000 0.0000 0.1200 1
-2.9680 0.9992 0.3902 0.0000 0.0000 0.0000 0.1200 1
-2.9829 0.9987 0.2123 0.0000 0.0000 0.0000 0.1200 1
-2.9940 1.0020 -0.0019 0.0000 0.0000 0.0000 0.1200 1
-2.9900 1.0004 -0.1787 0.0000 0.0000 0.0000 0.1200 1
-2.9696 0.9983 -0.3956 0.0000 0.0000 0.0000 0.1200 1
-2.9392 1.0012 -0.5755 0.0000 0.0000 0.0000 0.1200 1
-2.8890 0.9991 -0.7768 0.0000 0.0000 0.0000 0.1200 1
-2.8370 0.9988 -0.9624 0.0000 0.0000 0.0000 0.1200 1
-2.7647 0.9995 -1.1418 0.0000 0.0000 0.0000 0.1200 1
-2.6801 1.0009 -1.3407 0.0000 0.0000 0.0000 0.1200 1
-2.5933 0.9979 -1.5034 0.0000 0.0000 0.0000 0.1200 1
-2.4777 0.9982 -1.6780 0.0000 0.0000 0.0000 0.1200 1
-2.3766 0.9989 -1.8249 0.0000 0.0000 0.0000 0.1200 1
-2.2488 1.0007 -1.9776 0.0000 0.0000 0.0000 0.1200 1
-2.1158 0.9986 -2.1231 0.0000 0.0000 0.0000 0.1200 1
-1.9730 1.0017 -2.2552 0.0000 0.0000 0.0000 0.1200 1
-1.8271 0.9992 -2.3768 0.0000 0.0000 0.0000 0.1200 1
-1.6625 0.9998 -2.4953 0.0000 0.0000 0.0000 0.1200 1
-1.5034 0.9993 -2.5923 0.0000 0.0000 0.0000 0.1200 1
-1.3197 1.0004 -2.6870 0.0000 0.0000 0.0000 0.1200 1
-1.1436 0.9996 -2.7673 0.0000 0.0000 0.0000 0.1200 1
-0.9378 1.0001 -2.8442 0.0000 0.0000 0.0000 0.1200 1
-0.7710 0.9993 -2.8974 0.0000 0.0000 0.0000 0.1200 1
-0.5742 0.9990 -2.9412 0.0000 0.0000 0.0000 0.1200 1
-0.3914 0.9983 -2.9708 0.0000 0.0000 0.0000 0.1200 1
-0.1873 1.0004 -2.9956 0.0000 0.0000 0.0000 0.1200 1
0.0169 1.0006 -2.9991 0.0000 0.0000 0.0000 0.1200 1
0.2019 1.0001 -2.9965 0.0000 0.0000 0.0000 0.1200 1
0.4155 0.9995 -2.9701 0.0000 0.0000 0.0000 0.1200 1
0.5873 1.0010 -2.9419 0.0000 0.0000 0.0000 0.1200 1
0.7791 1.0012 -2.8936 0.0000 0.0000 0.0000 0.1200 1
0.9678 0.9993 -2.8396 0.0000 0.0000 0.0000 0.1200 1
1.1518 0.9993 -2.7731 0.0000 0.0000 0.0000 0.1200 1
1.3289 0.9989 -2.6923 0.0000 0.0000 0.0000 0.1200 1
1.5153 0.9995 -2.5917 0.0000 0.0000 0.0000 0.1200 1
1.6721 0.9990 -2.4949 0.0000 0.0000 0.0000 0.1200 1
1.8356 1.0013 -2.3763 0.0000 0.0000 0.0000 0.1200 1
1.9755 1.0013 -2.2657 0.0000 0.0000 0.0000 0.1200 1
2.1210 0.9982 -2.1296 0.0000 0.0000 0.0000 0.1200 1
2.2614 0.9979 -1.9769 0.0000 0.0000 0.0000 0.1200 1
2.3940 1.0003 -1.8124 0.0000 0.0000 0.0000 0.1200 1
2.5002 0.9990 -1.6600 0.0000 0.0000 0.0000 0.1200 1
2.6028 1.0005 -1.4979 0.0000 0.0000 0.0000 0.1200 1
2.6957 0.9993 -1.3210 0.0000 0.0000 0.0000 0.1200 1
2.7792 0.9994 -1.1419 0.0000 0.0000 0.0000 0.1200 1
2.8457 0.9999 -0.9604 0.0000 0.0000 0.0000 0.1200 1
