# x y z nx ny nz intensity label damage_type
-2.544640 22.585174 -0.646046 -0.866041 0.000000 -0.499974 0.500000 1 0
2.900575 15.337691 -1.490545 0.781777 0.000000 -0.623558 0.500000 1 0
0.999742 6.398693 3.371750 0.365161 0.000000 0.930944 0.500000 1 0
2.909351 42.924173 1.156706 0.993486 0.000000 0.113954 0.500000 1 0
2.236476 30.289593 -1.695489 0.664002 0.000000 -0.747731 0.500000 1 0
-0.334240 14.064667 3.208044 -0.138784 0.000000 0.990323 0.500000 1 1
-0.187597 12.851141 3.239864 -0.077387 0.000000 0.997001 0.500000 1 1
-0.142571 39.988071 3.330845 -0.056758 0.000000 0.998388 0.500000 1 1
-2.013437 50.078408 -1.719878 -0.620764 0.000000 -0.783997 0.500000 1 0
3.462451 9.606567 -1.110197 0.873126 0.000000 -0.487494 0.500000 1 0
3.118225 50.244541 0.188909 0.979944 0.000000 -0.199272 0.500000 1 0
-1.433075 71.020327 2.088835 -0.749486 0.000000 0.662021 0.500000 1 0
-2.221815 34.009688 2.339046 -0.826024 0.000000 0.563634 0.500000 1 1
3.072224 54.042096 1.303535 0.987988 0.000000 0.154534 0.500000 1 0
2.931988 58.426309 -1.177136 0.826089 0.000000 -0.563539 0.500000 1 0
-2.876742 28.179475 0.494254 -0.993534 0.000000 -0.113538 0.500000 1 0
-1.305796 10.152406 -1.719462 -0.456862 0.000000 -0.889538 0.500000 1 0
-2.916535 47.772595 0.285622 -0.983446 0.000000 -0.181202 0.500000 1 0
2.514464 6.634549 2.990099 0.757491 0.000000 0.652846 0.500000 1 0
0.235201 48.686779 3.335951 0.093188 0.000000 0.995648 0.500000 1 1
2.867463 53.360915 -0.999258 0.843994 0.000000 -0.536353 0.500000 1 0
-2.674871 30.070599 1.553985 -0.964629 0.000000 0.263612 0.500000 1 1
-0.138908 70.942196 3.138410 -0.059885 0.000000 0.998205 0.500000 1 1
2.575178 18.325842 -1.709147 0.713039 0.000000 -0.701124 0.500000 1 0
3.938115 7.780678 0.827361 0.999999 0.000000 0.001107 0.500000 1 0
-1.337371 -0.912923 -0.246381 -0.781016 0.000000 -0.624512 0.500000 1 0
-1.110631 71.443441 -1.687867 -0.404523 0.000000 -0.914528 0.500000 1 0
