# x y z nx ny nz intensity label damage_type
-1.878761 23.712565 -0.646046 -0.864676 0.048601 -0.499974 0.500000 1 0
3.215986 16.217770 -1.490545 0.781186 -0.030397 -0.623558 0.500000 1 0
1.064700 7.377686 3.376137 0.364560 -0.006420 0.931158 0.500000 1 0
5.187874 43.537454 1.159980 0.987932 -0.103690 0.115057 0.500000 1 0
3.395032 31.091199 -1.695489 0.662161 -0.049417 -0.747731 0.500000 1 0
-0.063991 15.070401 3.216370 -0.138221 0.004959 0.990389 0.500000 1 1
0.040782 13.851794 3.247481 -0.077103 0.002543 0.997020 0.500000 1 1
1.856252 40.933924 3.355740 -0.055935 0.005476 0.998419 0.500000 1 1
1.103196 51.193838 -1.719878 -0.616181 0.075304 -0.783997 0.500000 1 0
3.595192 10.515013 -1.110197 0.872848 -0.022041 -0.487494 0.500000 1 0
6.217124 50.734986 0.188878 0.972660 -0.119260 -0.199273 0.500000 1 0
4.747220 71.909443 2.091646 -0.737777 0.127761 0.662844 0.500000 1 0
-0.756059 35.151120 2.353288 -0.820700 0.068564 0.567231 0.500000 1 1
6.650904 54.479719 1.307687 0.979343 -0.129078 0.155644 0.500000 1 0
7.101807 58.811443 -1.178977 0.817811 -0.116485 -0.563575 0.500000 1 0
-1.856801 29.352672 0.494254 -0.991138 0.068963 -0.113538 0.500000 1 0
-1.157357 11.182734 -1.719462 -0.456701 0.012127 -0.889538 0.500000 1 0
-0.068562 48.997952 0.285622 -0.976823 0.113939 -0.181202 0.500000 1 0
2.583381 7.585421 2.993916 0.756797 -0.013753 0.653505 0.500000 1 0
3.168794 49.540204 3.358132 0.091734 -0.010903 0.995724 0.500000 1 1
6.356677 53.836119 -0.999609 0.836931 -0.108927 -0.536359 0.500000 1 0
-1.519041 31.236934 1.560213 -0.961420 0.071247 0.265700 0.500000 1 1
6.009082 71.611606 3.143593 -0.058878 0.010185 0.998213 0.500000 1 1
3.016864 19.197571 -1.709147 0.712285 -0.032793 -0.701124 0.500000 1 0
4.028975 8.694720 0.827497 0.999781 -0.020898 0.001142 0.500000 1 0
-1.337363 0.084323 -0.246381 -0.781016 0.000156 -0.624512 0.500000 1 0
5.137534 72.272399 -1.687867 -0.398521 0.069426 -0.914528 0.500000 1 0
1.914514 60.903007 -0.245597 -0.909812 0.132533 -0.393291 0.500000 1 0
1.161666 46.894152 2.959036 -0.559566 0.062650 0.826414 0.500000 1 1
-1.965115 9.974968 0.115961 -0.946672 0.022379 -0.321422 0.500000 1 0
4.941288 42.999408 -0.900516 0.840194 -0.087043 -0.535255 0.500000 1 0
7.125547 57.162841 -0.475580 0.917333 -0.127006 -0.377319 0.500000 1 0
-1.210256 6.847487 2.219706 -0.671473 0.010916 0.740948 0.500000 1 0
4.479342 1.001214 0.869092 0.999944 -0.002409 0.010292 0.500000 1 0
3.348223 41.292495 3.063069 0.501517 -0.049703 0.863719 0.500000 1 1
7.163278 59.567984 2.042646 0.911772 -0.131559 0.389056 0.500000 1 1
2.282656 59.666074 -1.487809 -0.639800 0.091388 -0.763088 0.500000 1 0
3.126393 55.064403 3.275637 -0.195972 0.025886 0.980268 0.500000 1 1
5.313494 47.267878 -1.160078 0.793131 -0.090405 -0.602304 0.500000 1 0
