# x y z nx ny nz intensity label damage_type
-1.878760 23.712565 -0.646046 -0.864676 0.048601 -0.499974 0.500000 1 0
3.215985 16.217770 -1.490545 0.781186 -0.030397 -0.623558 0.500000 1 0
1.064699 7.377686 3.379646 0.364127 -0.006412 0.931328 0.500000 1 0
5.187871 43.537454 1.162599 0.987830 -0.103680 0.115940 0.500000 1 0
3.395031 31.091199 -1.695489 0.662161 -0.049417 -0.747731 0.500000 1 0
-0.063990 15.070401 3.223030 -0.137844 0.004945 0.990442 0.500000 1 0
0.040782 13.851794 3.253575 -0.076911 0.002537 0.997035 0.500000 1 0
1.856252 40.933924 3.375656 -0.055500 0.005433 0.998444 0.500000 1 0
1.103195 51.193838 -1.719878 -0.616181 0.075304 -0.783997 0.500000 1 0
3.595193 10.515013 -1.110197 0.872848 -0.022041 -0.487494 0.500000 1 0
6.217199 50.734976 0.188859 0.972660 -0.119260 -0.199274 0.500000 1 0
4.747220 71.909443 2.093894 -0.737202 0.127661 0.663502 0.500000 1 0
-0.756058 35.151120 2.364682 -0.818734 0.068399 0.570085 0.500000 1 0
6.653227 54.479413 1.310884 0.979205 -0.129060 0.156529 0.500000 1 0
7.103248 58.811238 -1.180082 0.817796 -0.116483 -0.563597 0.500000 1 0
-1.856800 29.352672 0.494254 -0.991138 0.068963 -0.113538 0.500000 1 0
-1.157356 11.182734 -1.719462 -0.456701 0.012127 -0.889538 0.500000 1 0
-0.068561 48.997952 0.285622 -0.976823 0.113939 -0.181202 0.500000 1 0
2.583380 7.585421 2.996970 0.756342 -0.013744 0.654031 0.500000 1 0
3.168793 49.540204 3.375877 0.091102 -0.010827 0.995783 0.500000 1 0
6.356981 53.836079 -0.999819 0.836929 -0.108927 -0.536362 0.500000 1 0
-1.519041 31.236934 1.565196 -0.960959 0.071212 0.267368 0.500000 1 0
6.009082 71.611606 3.147739 -0.058773 0.010167 0.998220 0.500000 1 0
3.016863 19.197571 -1.709147 0.712285 -0.032793 -0.701124 0.500000 1 0
4.028973 8.694720 0.827606 0.999781 -0.020898 0.001170 0.500000 1 0
-1.337363 0.084323 -0.246381 -0.781016 0.000156 -0.624511 0.500000 1 0
5.137535 72.272399 -1.687867 -0.398521 0.069426 -0.914528 0.500000 1 0
1.914515 60.903007 -0.245597 -0.909812 0.132533 -0.393291 0.500000 1 0
1.161666 46.894152 2.974966 -0.556727 0.062333 0.828354 0.500000 1 0
-1.965115 9.974968 0.115961 -0.946672 0.022379 -0.321421 0.500000 1 0
4.941286 42.999409 -0.900516 0.840194 -0.087043 -0.535255 0.500000 1 0
7.129431 57.162304 -0.477361 0.917315 -0.127003 -0.377364 0.500000 1 0
-1.210255 6.847487 2.221524 -0.670993 0.010908 0.741383 0.500000 1 0
4.479342 1.001214 0.869152 0.999944 -0.002409 0.010306 0.500000 1 0
3.348221 41.292495 3.080686 0.498588 -0.049413 0.865429 0.500000 1 0
7.175471 59.566224 2.054186 0.911057 -0.131456 0.390762 0.500000 1 0
2.282657 59.666073 -1.487809 -0.639800 0.091388 -0.763088 0.500000 1 0
3.126395 55.064403 3.289768 -0.194892 0.025743 0.980487 0.500000 1 0
5.313495 47.267878 -1.160078 0.793131 -0.090405 -0.602304 0.500000 1 0
10.934291 74.665915 1.184131 0.980088 -0.178893 0.086160 0.500000 1 0
7.515076 62.045984 -1.469561 0.773125 -0.116294 -0.623501 0.500000 1 0
3.631045 26.713166 1.867776 0.933948 -0.059920 0.352350 0.500000 1 0
9.084551 69.864040 2.373692 0.886522 -0.150727 0.437447 0.500000 1 0
3.450636 19.419554 -1.139212 0.835826 -0.038966 -0.547610 0.500000 1 0
-0.746363 40.729313 -0.885835 -0.842215 0.081529 -0.532942 0.500000 1 0
2.130204 37.897317 3.350952 0.161424 -0.014640 0.986777 0.500000 1 0
-1.329836 7.555763 2.106720 -0.736352 0.013205 0.676470 0.500000 1 0
-0.319829 47.024270 0.587510 -0.990632 0.110829 -0.079786 0.500000 1 0
-0.139666 48.469634 0.290232 -0.977346 0.112752 -0.179118 0.500000 1 0
4.211071 42.650918 2.596454 0.749042 -0.076835 0.658052 0.500000 1 0
2.756154 21.500583 2.730011 0.755005 -0.038905 0.654563 0.500000 1 0
